,rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
1900,11885,[13C].[14C].[16C][17C]1[15N][17O][15C]1[18O],[16C][17C]1[15N][17O][15C]1[18O],CC1NOC1O,0.5174888041539555,0.7356805754084434
1920,11921,[13C].[14C].[15N][16C][17C]1[17O][15C]1[18O],[15N][16C][17C]1[17O][15C]1[18O],NCC1OC1O,0.20652106390159714,0.8814012392572455
1940,12152,[13C].[14C].[15N]=[17C][15C]=[17O].[16C].[18O],[15N]=[17C][15C]=[17O],N=CC=O,0.2131232980089812,0.7868767020042954
1960,12225,[13C].[14C].[16C][17C]1([15C]=[17O])[15N][18O]1,[16C][17C]1([15C]=[17O])[15N][18O]1,CC1(C=O)NO1,0.4496516396401183,0.7471334957741297
1980,12413,[13C].[14C].[16C].[17C][15C][15N]=[17O].[18O],[17C][15C][15N]=[17O],CCN=O,0.3003726375991375,0.8347507175805896
2000,12448,[13C].[14C].[16C].[17O][15N]1[15C][17C]1.[18O],[17O][15N]1[15C][17C]1,ON1CC1,0.34907811375523473,0.8414063348612361
2020,12497,[13C].[14C].[16C][18O][15N]1[15C][17C]1.[17O],[16C][18O][15N]1[15C][17C]1,CON1CC1,0.3067836432972079,0.8981048938237305
2040,12577,[13C].[14C].[15N][15C][17C]1[17O][16C][18O]1,[15N][15C][17C]1[17O][16C][18O]1,NCC1OCO1,0.2297947985507717,0.8804063800362852
2060,12648,[13C].[14C].[16C][15N][15C][17C]=[17O].[18O],[16C][15N][15C][17C]=[17O],CNCC=O,0.16747053437590873,0.8696099388191461
2080,12676,[13C].[14C].[17O]=[17C][15C][15N][16C][18O],[17O]=[17C][15C][15N][16C][18O],O=CCNCO,0.25253047469177536,0.8498137863061221
2100,12760,[13C].[14C].[16C]=[15N][15C][17C]=[17O].[18O],[16C]=[15N][15C][17C]=[17O],C=NCC=O,0.28020867454599657,0.8215900321175196
2120,12823,[13C].[14C].[16C][17C](=[17O])[15C][15N][18O],[16C][17C](=[17O])[15C][15N][18O],CC(=O)CNO,0.1646061863623057,0.8602705637503472
2140,12865,[13C].[14C].[17O][18O][16C][17C]1[15C][15N]1,[17O][18O][16C][17C]1[15C][15N]1,OOCC1CN1,0.19016170642560165,0.956413238434612
2160,12965,[13C].[14C].[15C]1[17C][16C][15N]1.[17O].[18O],[15C]1[17C][16C][15N]1,C1CCN1,0.6411660791799175,0.6485090346300832
2180,13098,[13C].[14C].[16C]=[17C][15C][15N]1[17O][18O]1,[16C]=[17C][15C][15N]1[17O][18O]1,C=CCN1OO1,0.16914463800357554,0.9630050330665129
2200,13290,[13C].[14C].[15N][15C]([18O])[17C]=[17O].[16C],[15N][15C]([18O])[17C]=[17O],NC(O)C=O,0.38186497565400257,0.7566495650450971
2220,13341,[13C].[14C].[16C][17O][15N]1[15C]2[18O][17C]21,[16C][17O][15N]1[15C]2[18O][17C]21,CON1C2OC21,0.2023027076954839,0.9522481801553905
2240,13388,[13C].[14C].[16C][15N]1[15C]2[18O][17O][17C]21,[16C][15N]1[15C]2[18O][17O][17C]21,CN1C2OOC21,0.25743800836953884,0.9361264748568545
2260,13408,[13C].[14C].[17O][16C][15N]1[17C][15C]1[18O],[17O][16C][15N]1[17C][15C]1[18O],OCN1CC1O,0.30109326331547925,0.8026406512461305
2280,13462,[13C].[14C].[16C][17C](=[17O])[15C]([15N])[18O],[16C][17C](=[17O])[15C]([15N])[18O],CC(=O)C(N)O,0.434643604557362,0.6784812756307714
2300,13488,[13C].[14C].[15N][15C]([18O])[17C][16C][17O],[15N][15C]([18O])[17C][16C][17O],NC(O)CCO,0.19497975638970244,0.8796814799349816
2320,13530,[13C].[14C].[16C]1[15N][15C]2[18O][17C]12.[17O],[16C]1[15N][15C]2[18O][17C]12,C1NC2OC12,0.42070985350224993,0.8222789659531523
2340,13599,[13C].[14C].[16C]=[17C]1[18O][15C]1[15N]=[17O],[16C]=[17C]1[18O][15C]1[15N]=[17O],C=C1OC1N=O,0.30312970348075974,0.895291711532046
2360,13837,[13C].[14C].[16C].[17O][15C]1[17C]2[18O][15N]12,[17O][15C]1[17C]2[18O][15N]12,OC1C2ON12,0.17437225603526293,0.9450365857707057
2380,13898,[13C].[14C].[16C]1[17O][15C]2[17C][15N]2[18O]1,[16C]1[17O][15C]2[17C][15N]2[18O]1,C1OC2CN2O1,0.5345980225268282,0.7365649644607586
2400,14000,[13C].[14C].[16C][17C]12[17O][15C]1[15N][18O]2,[16C][17C]12[17O][15C]1[15N][18O]2,CC12OC1NO2,0.5585394646142391,0.7720730663306531
2420,14573,[13C].[14C].[15C]1=[15N][18O][17O][17C]1.[16C],[15C]1=[15N][18O][17O][17C]1,C1=NOOC1,0.5147325958010446,0.564377439398021
