,rmat_tag,distance,largest_frag,largest_cleaned,pmi_x,pmi_y
40440,769863,12.0,C[15C]([16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)([17C][15N]=[17O])[14C@H]([18O])c1ccccc1,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)(CN=O)[C@H](O)c1ccccc1,0.13293034360433245,0.9656080303613229
40460,769878,12.0,C[15C]1([16CH]c2ccc(N3Cc4ccccc4C3=O)cc2)[17C]=[15N][18O][14C@@H]1c1ccccc1,CC1(Cc2ccc(N3Cc4ccccc4C3=O)cc2)C=NO[C@@H]1c1ccccc1,0.09641201206037497,0.9679575510820795
40480,420557,12.0,C[15C][18O][15N]1[17C][17O][14C@H](c2ccccc2)[16C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,CCON1CO[C@H](c2ccccc2)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.17181044012129892,0.8944996175884201
40500,222941,12.0,C[15C]1[18O][17C]1([15N][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[14C@H]([17O])c1ccccc1,CC1OC1(NCc1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](O)c1ccccc1,0.135660760790071,0.9370809901908852
40520,223438,12.0,C[15C]([15N][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[17C]1[18O][17O][14C@@H]1c1ccccc1,CC(NCc1ccc(N2Cc3ccccc3C2=O)cc1)C1OO[C@@H]1c1ccccc1,0.12934746711608294,0.9235873779314172
40540,422282,12.0,C[15C](=[15N])[18O][16C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[14C@H]([17O][17C])c1ccccc1,CC(=N)O[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](OC)c1ccccc1,0.20236300901923485,0.8912178195993145
40560,223415,12.0,C[15C]1[15N][18O][17C]1[14C@H]([17O][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CC1NOC1[C@H](OCc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.1612477351056095,0.8946494108309899
40580,767742,12.0,C[15C]1[14C@@H](c2ccccc2)[18O][17O][15N]([17C])[16C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,CC1[C@@H](c2ccccc2)OON(C)[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.10139209765950932,0.9504839291657822
40600,766461,12.0,C[15C]1=[17C]([15N][16CH]c2ccc(N3Cc4ccccc4C3=O)cc2)[18O][14C@@H]1c1ccccc1,CC1=C(NCc2ccc(N3Cc4ccccc4C3=O)cc2)O[C@@H]1c1ccccc1,0.04825390581576149,0.991112077910878
40620,766587,12.0,C[15C](=[17C][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[14C@H]([18O][15N][17O])c1ccccc1,CC(=CCc1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](ONO)c1ccccc1,0.08786627740225575,0.9564972946506392
40640,805017,12.0,C[15C]1([17C])[17O][16C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[18O][15N][14C@@H]1c1ccccc1,CC1(C)O[C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)ON[C@@H]1c1ccccc1,0.05970762057968797,0.9847437093421554
