smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.OC1=CC2OC2=N1,15.0,14.0,14.0,13.0
C.OC1=NC2=CC1O2,15.0,14.0,14.0,13.0
C.C1=C2N=C3OC13O2,14.0,13.0,13.0,12.0
C.C1=C2N=C(C1)O2.O,16.0,15.0,15.0,14.0
C.OC1C=C2N=C1O2,15.0,14.0,14.0,13.0
C.O=C1C=C2N=C1O2,16.0,15.0,15.0,14.0
C.C=CC=C(N)O.O,14.0,13.0,13.0,12.0
C.C=CC=C(N)OO,15.0,14.0,14.0,13.0
C.C=CC=C(O)NO,15.0,14.0,14.0,13.0
C.C=CC=C1NOO1,16.0,15.0,15.0,14.0
C.C=CC=C(O)N=O,16.0,15.0,15.0,14.0
C.C=CC=C1NO1.O,15.0,14.0,14.0,13.0
C.C=CC=C1ON1O,16.0,15.0,15.0,14.0
C.C=C(O)C=C(N)O,13.0,12.0,12.0,11.0
C.C=C1C=C(N)OO1,14.0,13.0,13.0,12.0
C.C=C1C=C(O)NO1,14.0,13.0,13.0,12.0
C.C=C(O)C=C1NO1,14.0,13.0,13.0,12.0
C.C=C1C=C2ON2O1,15.0,14.0,14.0,13.0
C.C=C1C=C(N)O1.O,13.0,12.0,12.0,11.0
C.C=C1C=C(NO)O1,14.0,13.0,13.0,12.0
C.C=C1C=C(N=O)O1,15.0,14.0,14.0,13.0
C.C=C1C=C(O)N1.O,15.0,14.0,14.0,13.0
C.C=C1C=C(OO)N1,16.0,15.0,15.0,14.0
C.C=C1C=C(O)N1O,16.0,15.0,15.0,14.0
C.C=C1C=C2OON12,17.0,16.0,16.0,15.0
C.C=C1C=C2ON12.O,16.0,15.0,15.0,14.0
C.NC(O)=CC=CO,15.0,14.0,14.0,13.0
C.NC1=CC=COO1,16.0,15.0,15.0,14.0
C.OC1=CC=CON1,16.0,15.0,15.0,14.0
C.OC=CC=C1NO1,16.0,15.0,15.0,14.0
C.c1con2oc-2c1,17.0,16.0,16.0,15.0
C.NC(O)=CC1=CO1,14.0,13.0,13.0,12.0
C.C1=C(C=C2NO2)O1,15.0,14.0,14.0,13.0
C.NC1=CC(=CO)O1,14.0,13.0,13.0,12.0
C.C1=C2C=C(NO1)O2,15.0,14.0,14.0,13.0
C.OC=C1C=C(O)N1,16.0,15.0,15.0,14.0
C.C1=C2C=C(N2)OO1,17.0,16.0,16.0,15.0
C.OC1=Cc2con21,17.0,16.0,16.0,15.0
C.OC=C1C=C2ON12,17.0,16.0,16.0,15.0
C.NC(O)=CC=C=O,16.0,15.0,15.0,14.0
C.O=C=CC=C1NO1,17.0,16.0,16.0,15.0
C.NC1=CC(=C=O)O1,15.0,14.0,14.0,13.0
C.O=C=C1C=C(O)N1,17.0,16.0,16.0,15.0
C.O=C=C1C=C2ON12,18.0,17.0,17.0,16.0
C.Nc1ccco1.O,15.0,14.0,14.0,13.0
C.ONc1ccco1,16.0,15.0,15.0,14.0
C.O=Nc1ccco1,17.0,16.0,16.0,15.0
C.Nc1cc(O)co1,14.0,13.0,13.0,12.0
C.c1oc2cc1ON2,15.0,14.0,14.0,13.0
C.O.c1oc2cc1N2,16.0,15.0,15.0,14.0
C.ON1c2coc1c2,17.0,16.0,16.0,15.0
C.Nc1ccc(O)o1,16.0,15.0,15.0,14.0
C.c1cc2oc1NO2,17.0,16.0,16.0,15.0
C.Nc1cc2c(o1)O2,15.0,14.0,14.0,13.0
C.Oc1oc2cc1N2,17.0,16.0,16.0,15.0
C.c1c2oc3on-2c13,18.0,17.0,17.0,16.0
C.O.Oc1ccc[nH]1,15.0,14.0,14.0,13.0
C.OOc1ccc[nH]1,16.0,15.0,15.0,14.0
C.Oc1cccn1O,16.0,15.0,15.0,14.0
C.c1cc2oon2c1,17.0,16.0,16.0,15.0
C.O.c1cc2n(c1)O2,16.0,15.0,15.0,14.0
C.Oc1c[nH]c(O)c1,14.0,13.0,13.0,12.0
C.c1[nH]c2cc1OO2,15.0,14.0,14.0,13.0
C.Oc1cc2cn1o2,15.0,14.0,14.0,13.0
C.Oc1cc2n(c1)O2,15.0,14.0,14.0,13.0
C.O.c1[nH]c2cc1O2,14.0,13.0,13.0,12.0
C.On1cc2cc1O2,15.0,14.0,14.0,13.0
C.O.Oc1cc2cn1-2,16.0,15.0,15.0,14.0
C.OOc1cc2cn1-2,17.0,16.0,16.0,15.0
C.Oc1ccc(O)[nH]1,16.0,15.0,15.0,14.0
