,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
184,C.C=CNCC(O)O,8.0,7.0,7.0,6.0,6.0,72801
185,C.C=CNCC=O.O,8.0,7.0,7.0,6.0,6.0,72807
186,C.C=CNCC(=O)O,7.0,6.0,6.0,5.0,5.0,72809
187,C.C=CN1CC(=O)O1,8.0,7.0,7.0,6.0,6.0,72810
188,C.C=CNC1OC1=O,8.0,7.0,7.0,6.0,6.0,72837
189,C.C=CN=CC(=O)O,8.0,7.0,7.0,6.0,6.0,72910
190,C.C=C(O)O.C=CN,8.0,7.0,7.0,6.0,6.0,72955
191,C.C=C=O.C=CN.O,8.0,7.0,7.0,6.0,6.0,72960
192,C.C.NC=COC=O,8.0,7.0,7.0,6.0,6.0,73283
193,C.CC(O)OC=CN,8.0,7.0,7.0,6.0,6.0,73457
194,C.CC=O.NC=CO,8.0,7.0,7.0,6.0,6.0,73459
195,C.CC(=O)OC=CN,7.0,6.0,6.0,5.0,5.0,73461
196,C.O=C1CNC=CO1,8.0,7.0,7.0,6.0,6.0,73552
197,C.CC(O)OC=CN,8.0,7.0,7.0,6.0,6.0,74123
198,C.C.C1=CN1.O=CO,8.0,7.0,7.0,6.0,6.0,74873
199,C.C1=CN1.CC(O)O,8.0,7.0,7.0,6.0,6.0,75043
200,C.C1=CN1.CC=O.O,8.0,7.0,7.0,6.0,6.0,75049
201,C.C1=CN1.CC(=O)O,7.0,6.0,6.0,5.0,5.0,75051
202,C.CC(=O)ON1C=C1,8.0,7.0,7.0,6.0,6.0,75052
203,C.C1=CN1.O=C1CO1,8.0,7.0,7.0,6.0,6.0,75079
204,C.O=C(O)CN1C=C1,8.0,7.0,7.0,6.0,6.0,75162
205,C.CC(=O)OC1=CN1,8.0,7.0,7.0,6.0,6.0,75461
206,C.C1=CN=1.CC(=O)O,8.0,7.0,7.0,6.0,6.0,75933
207,C.C.NC=CC(=O)O,8.0,7.0,7.0,6.0,6.0,76056
208,C.CC(O)(O)C=CN,8.0,7.0,7.0,6.0,6.0,76432
209,C.CC(=O)C=CN.O,8.0,7.0,7.0,6.0,6.0,76437
210,C.CC=CN.CO.O,8.0,7.0,7.0,6.0,6.0,78731
211,C.CC=CN.CO.O,8.0,7.0,7.0,6.0,6.0,78741
212,C.CC=CN.OCO,7.0,6.0,6.0,5.0,5.0,78748
213,C.C1OO1.CC=CN,8.0,7.0,7.0,6.0,6.0,78749
214,C.CC=CNOCO,8.0,7.0,7.0,6.0,6.0,78750
215,C.CC=CNOCO,8.0,7.0,7.0,6.0,6.0,78751
216,C.CC=CN.O=CO,8.0,7.0,7.0,6.0,6.0,78753
217,C.C=O.CC=CN.O,7.0,6.0,6.0,5.0,5.0,78755
218,C.C=O.CC=CNO,8.0,7.0,7.0,6.0,6.0,78756
219,C.CC=CN.O=CO,6.0,5.0,5.0,4.0,4.0,78758
220,C.CC=CNOC=O,7.0,6.0,6.0,5.0,5.0,78759
221,C.CC=CN.O=C=O,7.0,6.0,6.0,5.0,5.0,78760
222,C.CC=CNC(O)O,8.0,7.0,7.0,6.0,6.0,78780
223,C.CC=CNC=O.O,8.0,7.0,7.0,6.0,6.0,78786
224,C.CC=CNC(=O)O,7.0,6.0,6.0,5.0,5.0,78788
225,C.CC=CN1OC1=O,8.0,7.0,7.0,6.0,6.0,78789
226,C.NC=CCOCO,8.0,7.0,7.0,6.0,6.0,78816
227,C.C=O.NC=CCO,8.0,7.0,7.0,6.0,6.0,78818
228,C.NC=CCOC=O,7.0,6.0,6.0,5.0,5.0,78820
229,C.O=C1NC=CCO1,8.0,7.0,7.0,6.0,6.0,78836
230,C.NC=CCOCO,8.0,7.0,7.0,6.0,6.0,78875
231,C.C1=CNC1.OCO,8.0,7.0,7.0,6.0,6.0,78974
232,C.C1=CNC1.C=O.O,8.0,7.0,7.0,6.0,6.0,78980
233,C.C1=CNC1.O=CO,7.0,6.0,6.0,5.0,5.0,78982
234,C.O=CON1C=CC1,8.0,7.0,7.0,6.0,6.0,78983
235,C.C1=CNC1.O=C=O,8.0,7.0,7.0,6.0,6.0,78984
236,C.O=C(O)N1C=CC1,8.0,7.0,7.0,6.0,6.0,78997
237,C.O=COC1C=CN1,8.0,7.0,7.0,6.0,6.0,79013
238,C.C1=CN=C1.O=CO,8.0,7.0,7.0,6.0,6.0,79088
239,C.CCC=CN.O.O,8.0,7.0,7.0,6.0,6.0,79106
240,C.NC=CCCO.O,7.0,6.0,6.0,5.0,5.0,79117
241,C.NC=CCCOO,8.0,7.0,7.0,6.0,6.0,79118
242,C.C1=CNOCC1.O,8.0,7.0,7.0,6.0,6.0,79119
243,C.OCCC=CNO,8.0,7.0,7.0,6.0,6.0,79120
244,C.NC=CCC=O.O,8.0,7.0,7.0,6.0,6.0,79124
245,C.NC=CCCO.O,7.0,6.0,6.0,5.0,5.0,79127
246,C.NC=CCCOO,8.0,7.0,7.0,6.0,6.0,79128
247,C.OCCC=CNO,8.0,7.0,7.0,6.0,6.0,79129
248,C.C1=CNOCC1.O,8.0,7.0,7.0,6.0,6.0,79132
249,C.NC=CCC(O)O,6.0,5.0,5.0,4.0,4.0,79134
250,C.NC=CCC1OO1,7.0,6.0,6.0,5.0,5.0,79135
251,C.OC1CC=CNO1,7.0,6.0,6.0,5.0,5.0,79136
252,C.OC1CC=CNO1,7.0,6.0,6.0,5.0,5.0,79137
253,C.C1=CN2OC(C1)O2,8.0,7.0,7.0,6.0,6.0,79138
254,C.NC=CCC(=O)O,7.0,6.0,6.0,5.0,5.0,79139
255,C.O=C1CC=CNO1,8.0,7.0,7.0,6.0,6.0,79140
256,C.NC=CCC=O.O,6.0,5.0,5.0,4.0,4.0,79141
257,C.O=CCC=CNO,7.0,6.0,6.0,5.0,5.0,79142
258,C.O=CCC=CN=O,8.0,7.0,7.0,6.0,6.0,79143
259,C.NC=CCC(=O)O,5.0,4.0,4.0,3.0,3.0,79144
260,C.O=C1CC=CNO1,6.0,5.0,5.0,4.0,4.0,79145
261,C.O.OC1CC=CN1,8.0,7.0,7.0,6.0,6.0,79153
262,C.O.OC1CC=CN1,8.0,7.0,7.0,6.0,6.0,79160
263,C.OC1(O)CC=CN1,7.0,6.0,6.0,5.0,5.0,79165
264,C.C1=CNC2(C1)OO2,8.0,7.0,7.0,6.0,6.0,79166
265,C.OC12CC=CN1O2,8.0,7.0,7.0,6.0,6.0,79167
266,C.OC12CC=CN1O2,8.0,7.0,7.0,6.0,6.0,79168
267,C.O.O=C1CC=CN1,7.0,6.0,6.0,5.0,5.0,79169
268,C.O=C1CC=CN1O,8.0,7.0,7.0,6.0,6.0,79170
269,C.NC=CC1CO1.O,8.0,7.0,7.0,6.0,6.0,79185
270,C.NC=CC(O)CO,8.0,7.0,7.0,6.0,6.0,79188
271,C.NC=CC1OC1O,7.0,6.0,6.0,5.0,5.0,79193
272,C.C1=CC2OC2ON1,8.0,7.0,7.0,6.0,6.0,79194
273,C.NC=CC(O)C=O,7.0,6.0,6.0,5.0,5.0,79195
274,C.O=CC1C=CNO1,8.0,7.0,7.0,6.0,6.0,79196
275,C.NC=CC1OC1=O,6.0,5.0,5.0,4.0,4.0,79197
276,C.OC12NC=CC1O2,8.0,7.0,7.0,6.0,6.0,79209
277,C.O=C1NC=CC1O,8.0,7.0,7.0,6.0,6.0,79211
278,C.NC=CC(=O)C=O,8.0,7.0,7.0,6.0,6.0,79223
279,C.NC=CC(O)CO,8.0,7.0,7.0,6.0,6.0,79238
280,C.NC=CC1CO1.O,8.0,7.0,7.0,6.0,6.0,79245
281,C.NC=CC1OC1O,7.0,6.0,6.0,5.0,5.0,79248
282,C.C1=CC2OC2ON1,8.0,7.0,7.0,6.0,6.0,79249
283,C.NC=CC1OC1=O,8.0,7.0,7.0,6.0,6.0,79250
284,C.OC12NC=CC1O2,8.0,7.0,7.0,6.0,6.0,79264
285,C.NC=CC12OC1O2,8.0,7.0,7.0,6.0,6.0,79280
286,C.O.OCC1C=CN1,8.0,7.0,7.0,6.0,6.0,79314
287,C.O.OCC1C=CN1,8.0,7.0,7.0,6.0,6.0,79321
288,C.OC(O)C1C=CN1,7.0,6.0,6.0,5.0,5.0,79326
289,C.C1=CC(C2OO2)N1,8.0,7.0,7.0,6.0,6.0,79327
290,C.OC1ON2C=CC12,8.0,7.0,7.0,6.0,6.0,79328
291,C.OC1ON2C=CC12,8.0,7.0,7.0,6.0,6.0,79329
292,C.O=C(O)C1C=CN1,8.0,7.0,7.0,6.0,6.0,79330
293,C.O.O=CC1C=CN1,7.0,6.0,6.0,5.0,5.0,79332
294,C.O=CC1C=CN1O,8.0,7.0,7.0,6.0,6.0,79333
295,C.O=C(O)C1C=CN1,6.0,5.0,5.0,4.0,4.0,79334
296,C.O=C1ON2C=CC12,7.0,6.0,6.0,5.0,5.0,79335
297,C.OC1(O)C2C=CN21,8.0,7.0,7.0,6.0,6.0,79344
298,C.O.O=C1C2C=CN12,8.0,7.0,7.0,6.0,6.0,79346
299,C.OC1OC12C=CN2,8.0,7.0,7.0,6.0,6.0,79358
300,C.O=CC1(O)C=CN1,8.0,7.0,7.0,6.0,6.0,79360
301,C.O=C1OC12C=CN2,7.0,6.0,6.0,5.0,5.0,79362
302,C.OC1OC12C=CN2,8.0,7.0,7.0,6.0,6.0,79383
303,C.OC(O)C1=NC=C1,8.0,7.0,7.0,6.0,6.0,79401
304,C.O.O=CC1=NC=C1,8.0,7.0,7.0,6.0,6.0,79404
305,C.O=C(O)C1=NC=C1,7.0,6.0,6.0,5.0,5.0,79405
306,C.NC=CC=CO.O,8.0,7.0,7.0,6.0,6.0,79417
307,C.NC=CC=CO.O,8.0,7.0,7.0,6.0,6.0,79427
308,C.NC=CC=C(O)O,7.0,6.0,6.0,5.0,5.0,79434
309,C.NC=CC=C1OO1,8.0,7.0,7.0,6.0,6.0,79435
310,C.OC1=CC=CNO1,8.0,7.0,7.0,6.0,6.0,79436
311,C.OC1=CC=CNO1,8.0,7.0,7.0,6.0,6.0,79437
312,C.NC=CC=C=O.O,7.0,6.0,6.0,5.0,5.0,79439
313,C.O=C=CC=CNO,8.0,7.0,7.0,6.0,6.0,79440
314,C.NC=CC1=C(O)O1,8.0,7.0,7.0,6.0,6.0,79477
315,C.NC=CC(O)=C=O,8.0,7.0,7.0,6.0,6.0,79479
316,C.NC=CC1=C(O)O1,8.0,7.0,7.0,6.0,6.0,79511
317,C.OC(O)=C1C=CN1,8.0,7.0,7.0,6.0,6.0,79545
318,C.O.O=C=C1C=CN1,8.0,7.0,7.0,6.0,6.0,79549
319,C.CC(=CN)OCO,8.0,7.0,7.0,6.0,6.0,79605
320,C.C=O.CC(O)=CN,8.0,7.0,7.0,6.0,6.0,79607
321,C.CC(=CN)OC=O,7.0,6.0,6.0,5.0,5.0,79609
322,C.Cc1c[nH]c(=O)o1,8.0,7.0,7.0,6.0,6.0,79625
323,C.O=COC1=CNC1,8.0,7.0,7.0,6.0,6.0,79705
324,C.NC=C1CCO1.O,8.0,7.0,7.0,6.0,6.0,79769
325,C.NC=C(O)CCO,8.0,7.0,7.0,6.0,6.0,79772
326,C.NC=C1CC(O)O1,7.0,6.0,6.0,5.0,5.0,79777
327,C.C1=C2CC(ON1)O2,8.0,7.0,7.0,6.0,6.0,79778
328,C.NC=C(O)CC=O,7.0,6.0,6.0,5.0,5.0,79779
329,C.O=CCc1c[nH]o1,8.0,7.0,7.0,6.0,6.0,79780
330,C.NC=C1CC(=O)O1,6.0,5.0,5.0,4.0,4.0,79781
331,C.OC12CC(=CN1)O2,8.0,7.0,7.0,6.0,6.0,79793
332,C.O=C1CC(O)=CN1,8.0,7.0,7.0,6.0,6.0,79795
333,C.NC=C1OC1C=O,8.0,7.0,7.0,6.0,6.0,79807
334,C.NC=C1OC2OC12,8.0,7.0,7.0,6.0,6.0,79824
335,C.OC1OC2=CNC21,8.0,7.0,7.0,6.0,6.0,79865
336,C.O=CC1NC=C1O,8.0,7.0,7.0,6.0,6.0,79867
337,C.O=C1OC2=CNC12,7.0,6.0,6.0,5.0,5.0,79869
338,C.O=c1oc2cnc1-2,8.0,7.0,7.0,6.0,6.0,79906
339,C.NC=C1C=C(O)O1,8.0,7.0,7.0,6.0,6.0,79922
340,C.NC=C(O)C=C=O,8.0,7.0,7.0,6.0,6.0,79924
341,C.CC(=CN)OCO,8.0,7.0,7.0,6.0,6.0,80027
342,C.NC=C(O)CCO,8.0,7.0,7.0,6.0,6.0,80189
343,C.NC=C1CCO1.O,8.0,7.0,7.0,6.0,6.0,80196
344,C.NC=C1CC(O)O1,7.0,6.0,6.0,5.0,5.0,80199
345,C.C1=C2CC(ON1)O2,8.0,7.0,7.0,6.0,6.0,80200
346,C.NC=C1CC(=O)O1,8.0,7.0,7.0,6.0,6.0,80201
347,C.OC12CC(=CN1)O2,8.0,7.0,7.0,6.0,6.0,80215
