rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned
97311,[13C].[14C][15N]([15C])[17C]([16C])=[17O].[18O],[14C][15N]([15C])[17C]([16C])=[17O],CN(C)C(C)=O
97326,[13C].[14C][15N]([15C])[18O][16C][17C]=[17O],[14C][15N]([15C])[18O][16C][17C]=[17O],CN(C)OCC=O
97334,[13C].[14C][15N]([15C])[17C](=[17O])[16C][18O],[14C][15N]([15C])[17C](=[17O])[16C][18O],CN(C)C(=O)CO
97357,[13C].[14C][15N]([15C])[18O][17C]1[16C][17O]1,[14C][15N]([15C])[18O][17C]1[16C][17O]1,CN(C)OC1CO1
97365,[13C].[14C][15N]([15C])[17C]1([18O])[16C][17O]1,[14C][15N]([15C])[17C]1([18O])[16C][17O]1,CN(C)C1(O)CO1
97404,[13C].[14C][15N]([15C])[16C][17C][17O].[18O],[14C][15N]([15C])[16C][17C][17O],CN(C)CCO
97406,[13C].[14C][15N]([15C])[16C][17C]([17O])[18O],[14C][15N]([15C])[16C][17C]([17O])[18O],CN(C)CC(O)O
97407,[13C].[14C][15N]([15C])[16C][17C]1[17O][18O]1,[14C][15N]([15C])[16C][17C]1[17O][18O]1,CN(C)CC1OO1
97409,[13C].[14C][15N]([15C])[16C][17C]=[17O].[18O],[14C][15N]([15C])[16C][17C]=[17O],CN(C)CC=O
97410,[13C].[14C][15N]([15C])[16C][17C](=[17O])[18O],[14C][15N]([15C])[16C][17C](=[17O])[18O],CN(C)CC(=O)O
97460,[13C].[14C][15N]([15C])[17O][17C](=[16C])[18O],[14C][15N]([15C])[17O][17C](=[16C])[18O],CN(C)OC(=C)O
97680,[13C].[14C][15N]([16C])[15C][18O][17C]=[17O],[14C][15N]([16C])[15C][18O][17C]=[17O],CN(C)COC=O
97705,[13C].[14C][15N][15C][18O][17C]([16C])[17O],[14C][15N][15C][18O][17C]([16C])[17O],CNCOC(C)O
97709,[13C].[14C][15N][15C][18O][17C]([16C])=[17O],[14C][15N][15C][18O][17C]([16C])=[17O],CNCOC(C)=O
97716,[13C].[14C][15N]([15C][18O])[17C]([16C])=[17O],[14C][15N]([15C][18O])[17C]([16C])=[17O],CN(CO)C(C)=O
97721,[13C].[14C][15N][15C][18O][16C][17C]=[17O],[14C][15N][15C][18O][16C][17C]=[17O],CNCOCC=O
97757,[13C].[14C][15N]([15C][18O])[16C][17C]=[17O],[14C][15N]([15C][18O])[16C][17C]=[17O],CN(CO)CC=O
97758,[13C].[14C][15N]1[15C][18O][17C](=[17O])[16C]1,[14C][15N]1[15C][18O][17C](=[17O])[16C]1,CN1COC(=O)C1
98031,[13C].[14C][15N][15C][17O][17C][16C].[18O],[14C][15N][15C][17O][17C][16C],CNCOCC
98034,[13C].[14C][15N]1[15C][17O][17C]([16C])[18O]1,[14C][15N]1[15C][17O][17C]([16C])[18O]1,CN1COC(C)O1
98042,[13C].[14C][15N]1[15C][17O][17C]1([16C])[18O],[14C][15N]1[15C][17O][17C]1([16C])[18O],CN1COC1(C)O
98051,[13C].[14C][15N][15C][17O][17C]1[16C][18O]1,[14C][15N][15C][17O][17C]1[16C][18O]1,CNCOC1CO1
98083,[13C].[14C][15N]1[15C][17O][17C]([18O])[16C]1,[14C][15N]1[15C][17O][17C]([18O])[16C]1,CN1COC(O)C1
98110,[13C].[14C][15N][15C][17O][17C](=[16C])[18O],[14C][15N][15C][17O][17C](=[16C])[18O],CNCOC(=C)O
