rmat_tag,distance,largest_frag,largest_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
1005686,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[15N]([18O])[14CH]c1ccccc1F,CC[C@@H](C(=O)N(O)Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,4.758600000000004,400.4780000000002,1.0,3.0,60.85000000000001,6.0,0.2,4.0,0.4794066346780411
2052353,4.0,C[15C]1[15N][14C@H](c2ccccc2F)[17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1N[C@H](c2ccccc2)C(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,4.232700000000003,382.4630000000001,1.0,3.0,49.410000000000004,3.0,0.2,5.0,0.7373944272515465
1053234,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[15N]=[14CH]c1ccccc1F,CC[C@@H](C(=O)N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,4.986300000000004,382.46300000000014,0.0,2.0,49.74,5.0,0.16,4.0,0.5840679905300077
1010798,4.0,C[15C]1([15N][14CH]c2ccccc2F)[16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C]1=[17O],CC1(NCc2ccccc2)C(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,4.061800000000003,382.4630000000001,1.0,3.0,49.410000000000004,5.0,0.2,5.0,0.7239184302385413
2052349,4.0,C[15C]1[15N][14C@H](c2ccccc2F)[17C]([17O])([18O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1N[C@H](c2ccccc2)C(O)(O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,3.3445000000000027,400.4780000000002,3.0,4.0,72.8,3.0,0.24,5.0,0.589855941810776
8010677,4.0,C[15C]1([16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C]([17O])[18O])[15N][14C@@H]1c1ccccc1F,CC1([C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)C(O)O)N[C@@H]1c1ccccc1,3.344500000000002,400.47800000000007,3.0,4.0,82.71000000000001,5.0,0.24,5.0,0.4531342869437882
7049144,4.0,C[15C]([14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][15N],CC(Cc1ccccc1)[C@@H](C(=O)ON)c1ccc(N2Cc3ccccc3C2=O)cc1,4.226300000000003,400.4780000000001,1.0,4.0,72.63,6.0,0.2,4.0,0.6288060790705959
8008755,4.0,C[15C]([14C@H]([15N][18O])c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC([C@H](NO)c1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,4.485700000000003,400.4780000000002,2.0,4.0,69.64,7.0,0.2,4.0,0.4530101830153521
1010636,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)([15N][14CH]c1ccccc1F)[17C](=[17O])[18O],CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)(NCc1ccccc1)C(=O)O,4.0226000000000015,400.4780000000001,2.0,3.0,69.64,7.0,0.2,4.0,0.6284571555309503
4044022,4.0,C[15C][18O][17C](=[17O])[16C@@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N])c1ccccc1F,CCOC(=O)[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](N)c1ccccc1,4.193700000000003,400.47800000000007,1.0,4.0,72.63,6.0,0.2,4.0,0.6298193746255587
1005682,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]1([15N][14CH]c2ccccc2F)[17O][18O]1,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C1(NCc2ccccc2)OO1,4.746000000000003,400.4780000000001,1.0,4.0,57.400000000000006,7.0,0.24,5.0,0.45947861128672624
1023629,4.0,C[15C]1[16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C]1([17O])[18O][14C@H]([15N])c1ccccc1F,CC1[C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)C1(O)O[C@H](N)c1ccccc1,3.9430000000000014,400.4780000000001,2.0,4.0,75.79,5.0,0.24,5.0,0.6362555938417902
1023467,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][14C@H]([15N])c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)C(=O)O[C@H](N)c1ccccc1,4.226300000000003,400.4780000000001,1.0,4.0,72.63,6.0,0.2,4.0,0.49652245380585275
1053217,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([18O])[17O][15N]=[14CH]c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)ON=Cc1ccccc1,4.709700000000003,400.47800000000007,1.0,4.0,62.13000000000001,7.0,0.2,4.0,0.35491669935298026
94892,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@@H]2[17C](=[17O])[18O][15N]2[14CH]c2ccccc2F)cc1,O=C1ON(Cc2ccccc2)[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,3.8621000000000034,370.4080000000001,0.0,4.0,49.85,4.0,0.13043478260869565,5.0,0.699736941058112
