rmat_tag,distance,largest_frag,largest_cleaned
1053080,6.0,C[15C][16C@H]([18O][15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@H](ON=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1051524,6.0,C[15C]([15N]=[14CH]c1ccccc1F)[17C](=[17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(N=Cc1ccccc1)C(=O)Cc1ccc(N2Cc3ccccc3C2=O)cc1
1051522,6.0,C[15C]([15N]=[14CH]c1ccccc1F)[17C]([17O])([18O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(N=Cc1ccccc1)C(O)(O)Cc1ccc(N2Cc3ccccc3C2=O)cc1
1050625,6.0,C[15C][17C](=[17O])[16C@H]([15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCC(=O)[C@H](N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1050623,6.0,C[15C][17C]([17O])([18O])[16C@H]([15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCC(O)(O)[C@H](N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1050528,6.0,C[15C][17C]([18O])([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17O][15N]=[14CH]c1ccccc1F,CCC(O)(Cc1ccc(N2Cc3ccccc3C2=O)cc1)ON=Cc1ccccc1
1050205,6.0,C[15C]([15N]=[14CH]c1ccccc1F)[17O][17C]([18O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(N=Cc1ccccc1)OC(O)Cc1ccc(N2Cc3ccccc3C2=O)cc1
1049541,6.0,C[15C][17O][17C]([18O])[16C@H]([15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCOC(O)[C@H](N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1049500,6.0,C[15C][17O][17C]([18O])([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[15N]=[14CH]c1ccccc1F,CCOC(O)(Cc1ccc(N2Cc3ccccc3C2=O)cc1)N=Cc1ccccc1
1049492,6.0,C[15C][17O][17C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[18O][15N]=[14CH]c1ccccc1F,CCOC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)ON=Cc1ccccc1
1048918,6.0,O=C1c2cccc(F)c2CN1c1ccc([16CH]=[17C]([18O])[17O][15N]=[14CH]c2ccccc2F)cc1,O=C1c2ccccc2CN1c1ccc(C=C(O)ON=Cc2ccccc2)cc1
1053224,6.0,C[15C][16C@@H]([17C][15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@@H](CN=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1053228,6.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([15N]=[14CH]c1ccccc1F)[18O][17O],CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(N=Cc1ccccc1)OO
1054203,6.0,C[15C]([15N]=[14CH]c1ccccc1F)[16C@@H]([17C])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(N=Cc1ccccc1)[C@@H](C)c1ccc(N2Cc3ccccc3C2=O)cc1
1054189,6.0,C[15C]([15N]=[14CH]c1ccccc1F)[16C@H]([17O][17C][18O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(N=Cc1ccccc1)[C@H](OCO)c1ccc(N2Cc3ccccc3C2=O)cc1
1054178,6.0,C[15C]([15N]=[14CH]c1ccccc1F)[16C@H]([18O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(N=Cc1ccccc1)[C@H](O)c1ccc(N2Cc3ccccc3C2=O)cc1
1053971,6.0,C[15C]12[17O][17C]([15N]=[14CH]c3ccccc3F)([18O]1)[16C@H]2c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC12OC(N=Cc3ccccc3)(O1)[C@H]2c1ccc(N2Cc3ccccc3C2=O)cc1
1053812,6.0,C[15C]1[17O][17C]([15N]=[14CH]c2ccccc2F)[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1OC(N=Cc2ccccc2)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1
1053809,6.0,C[15C]([17O])[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([18O])[15N]=[14CH]c1ccccc1F,CC(O)[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)N=Cc1ccccc1
1053799,6.0,C[15C]([17O][15N]=[14CH]c1ccccc1F)[16C@@H]([17C][18O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(ON=Cc1ccccc1)[C@@H](CO)c1ccc(N2Cc3ccccc3C2=O)cc1
1053798,6.0,C[15C]([17O])[16C@@H]([17C][18O][15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(O)[C@@H](CON=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1053777,6.0,C[15C]([17O][17C][18O])[16C@H]([15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(OCO)[C@H](N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1053735,6.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17O][17C]([18O])[15N]=[14CH]c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)OC(O)N=Cc1ccccc1
1053727,6.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17O][17C][18O][15N]=[14CH]c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)OCON=Cc1ccccc1
1053680,6.0,C[15C](=[18O])[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[15N]=[14CH]c1ccccc1F,CC(=O)[C@@H](C(=O)N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1053507,6.0,C[15C]([18O])[16C@H]([15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(O)[C@H](N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1053457,6.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[18O][15N]=[14CH]c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)ON=Cc1ccccc1
11046101,6.0,C[15C](=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([15N])([17O])[18O],CC(=Cc1ccccc1)[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(N)(O)O
1048865,6.0,O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([15N]=[14CH]c2ccccc2F)[17C]2[17O][18O]2)cc1,O=C1c2ccccc2CN1c1ccc([C@@H](N=Cc2ccccc2)C2OO2)cc1
