rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
97309,[13C].[14C][15N]([15C])[17C]([16C])([17O])[18O],[14C][15N]([15C])[17C]([16C])([17O])[18O],CN(C)C(C)(O)O,0.5899983510063223,0.8042841100246442
97310,[13C].[14C][15N]([15C])[17C]1([16C])[17O][18O]1,[14C][15N]([15C])[17C]1([16C])[17O][18O]1,CN(C)C1(C)OO1,0.5206477385646314,0.7794753934142884
97311,[13C].[14C][15N]([15C])[17C]([16C])=[17O].[18O],[14C][15N]([15C])[17C]([16C])=[17O],CN(C)C(C)=O,0.41822506556350975,0.6219110044895658
97326,[13C].[14C][15N]([15C])[18O][16C][17C]=[17O],[14C][15N]([15C])[18O][16C][17C]=[17O],CN(C)OCC=O,0.15115920166804095,0.8868220175613707
97334,[13C].[14C][15N]([15C])[17C](=[17O])[16C][18O],[14C][15N]([15C])[17C](=[17O])[16C][18O],CN(C)C(=O)CO,0.28537090683061284,0.7456149809418006
97357,[13C].[14C][15N]([15C])[18O][17C]1[16C][17O]1,[14C][15N]([15C])[18O][17C]1[16C][17O]1,CN(C)OC1CO1,0.2103741892313341,0.8936421428508803
97365,[13C].[14C][15N]([15C])[17C]1([18O])[16C][17O]1,[14C][15N]([15C])[17C]1([18O])[16C][17O]1,CN(C)C1(O)CO1,0.5219953752432541,0.8898160844443138
97404,[13C].[14C][15N]([15C])[16C][17C][17O].[18O],[14C][15N]([15C])[16C][17C][17O],CN(C)CCO,0.3106896793790229,0.8647625787790997
97406,[13C].[14C][15N]([15C])[16C][17C]([17O])[18O],[14C][15N]([15C])[16C][17C]([17O])[18O],CN(C)CC(O)O,0.3454158216384755,0.859928917471802
97407,[13C].[14C][15N]([15C])[16C][17C]1[17O][18O]1,[14C][15N]([15C])[16C][17C]1[17O][18O]1,CN(C)CC1OO1,0.31154623754660155,0.9011590413006076
97409,[13C].[14C][15N]([15C])[16C][17C]=[17O].[18O],[14C][15N]([15C])[16C][17C]=[17O],CN(C)CC=O,0.2138652014676412,0.8576310739618105
97410,[13C].[14C][15N]([15C])[16C][17C](=[17O])[18O],[14C][15N]([15C])[16C][17C](=[17O])[18O],CN(C)CC(=O)O,0.32029649764356066,0.8687756641818539
97460,[13C].[14C][15N]([15C])[17O][17C](=[16C])[18O],[14C][15N]([15C])[17O][17C](=[16C])[18O],CN(C)OC(=C)O,0.2879695718075351,0.7707483716350271
97680,[13C].[14C][15N]([16C])[15C][18O][17C]=[17O],[14C][15N]([16C])[15C][18O][17C]=[17O],CN(C)COC=O,0.35293942174192616,0.9756495732029573
97705,[13C].[14C][15N][15C][18O][17C]([16C])[17O],[14C][15N][15C][18O][17C]([16C])[17O],CNCOC(C)O,0.15365155953514398,0.9329016854199199
97709,[13C].[14C][15N][15C][18O][17C]([16C])=[17O],[14C][15N][15C][18O][17C]([16C])=[17O],CNCOC(C)=O,0.17973781683598067,0.9034344556919602
97716,[13C].[14C][15N]([15C][18O])[17C]([16C])=[17O],[14C][15N]([15C][18O])[17C]([16C])=[17O],CN(CO)C(C)=O,0.38964822240981534,0.7214956273623195
97721,[13C].[14C][15N][15C][18O][16C][17C]=[17O],[14C][15N][15C][18O][16C][17C]=[17O],CNCOCC=O,0.3508409184888152,0.7617136235201666
97757,[13C].[14C][15N]([15C][18O])[16C][17C]=[17O],[14C][15N]([15C][18O])[16C][17C]=[17O],CN(CO)CC=O,0.2222089253356471,0.907439193635469
97758,[13C].[14C][15N]1[15C][18O][17C](=[17O])[16C]1,[14C][15N]1[15C][18O][17C](=[17O])[16C]1,CN1COC(=O)C1,0.4199711581310834,0.8166617465045699
98031,[13C].[14C][15N][15C][17O][17C][16C].[18O],[14C][15N][15C][17O][17C][16C],CNCOCC,0.1256827469974619,0.9699569183260489
98034,[13C].[14C][15N]1[15C][17O][17C]([16C])[18O]1,[14C][15N]1[15C][17O][17C]([16C])[18O]1,CN1COC(C)O1,0.3155428354801217,0.8397999108424323
98042,[13C].[14C][15N]1[15C][17O][17C]1([16C])[18O],[14C][15N]1[15C][17O][17C]1([16C])[18O],CN1COC1(C)O,0.5670497425442014,0.7513185994315849
98051,[13C].[14C][15N][15C][17O][17C]1[16C][18O]1,[14C][15N][15C][17O][17C]1[16C][18O]1,CNCOC1CO1,0.16465785751069476,0.9330986283453641
98083,[13C].[14C][15N]1[15C][17O][17C]([18O])[16C]1,[14C][15N]1[15C][17O][17C]([18O])[16C]1,CN1COC(O)C1,0.2665674099387071,0.8094350757353022
98110,[13C].[14C][15N][15C][17O][17C](=[16C])[18O],[14C][15N][15C][17O][17C](=[16C])[18O],CNCOC(=C)O,0.12643134764662375,0.9119913244172626
98239,[13C].[14C][15N][15C]1[17O][17C]([16C])[18O]1,[14C][15N][15C]1[17O][17C]([16C])[18O]1,CNC1OC(C)O1,0.2376410229918322,0.9342557855626941
98642,[13C].[14C][15N]=[15C][18O][17C]([16C])=[17O],[14C][15N]=[15C][18O][17C]([16C])=[17O],CN=COC(C)=O,0.16621299888046517,0.8509911499304905
98735,[13C].[14C][15N]=[15C][17O][17C]([16C])[18O],[14C][15N]=[15C][17O][17C]([16C])[18O],CN=COC(C)O,0.19657459298922084,0.8965225342007648
99088,[13C].[14C][15N]([16C])[18O][17C]([15C])=[17O],[14C][15N]([16C])[18O][17C]([15C])=[17O],CN(C)OC(C)=O,0.27208724603581125,0.8112161658581085
