rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
95057,[13C].[14C][15N][17C](=[16C])[17O].[15C].[18O],[14C][15N][17C](=[16C])[17O],CNC(=C)O,0.235,73.095,2.0,2.0,32.26,1.0,0.3333333333333333,0.0,0.43549048351892494
95469,[13C].[14C][15N]([16C])[17C](=[17O])[18O][15C],[14C][15N]([16C])[17C](=[17O])[18O][15C],CN(C)C(=O)OC,0.3144,103.12099999999998,0.0,2.0,29.540000000000003,0.0,0.75,0.0,0.44141043246436296
95540,[13C].[14C][15N][17O][17C]([16C])[18O][15C],[14C][15N][17O][17C]([16C])[18O][15C],CNOC(C)OC,0.12979999999999992,105.137,1.0,3.0,30.49,3.0,1.0,0.0,0.408514166597589
95549,[13C].[14C][15N][17C]([16C])[18O][15C].[17O],[14C][15N][17C]([16C])[18O][15C],CNC(C)OC,0.19819999999999993,89.13799999999999,1.0,2.0,21.259999999999998,2.0,1.0,0.0,0.4877850173807601
95555,[13C].[14C][15N][17C]([16C])([17O])[18O][15C],[14C][15N][17C]([16C])([17O])[18O][15C],CNC(C)(O)OC,-0.48180000000000023,105.13699999999999,2.0,3.0,41.489999999999995,2.0,1.0,0.0,0.4658640772603232
95556,[13C].[14C][15N]1[17O][17C]1([16C])[18O][15C],[14C][15N]1[17O][17C]1([16C])[18O][15C],CN1OC1(C)OC,0.18349999999999989,103.121,0.0,3.0,24.77,1.0,1.0,1.0,0.44252137992134094
95558,[13C].[14C][15N]([18O][15C])[17C]([16C])=[17O],[14C][15N]([18O][15C])[17C]([16C])=[17O],CN(OC)C(C)=O,0.026100000000000012,103.121,0.0,2.0,29.54,1.0,0.75,0.0,0.43792098965939075
95574,[13C].[14C][15N][17C](=[17O])[16C][18O][15C],[14C][15N][17C](=[17O])[16C][18O][15C],CNC(=O)COC,-0.6212000000000002,103.121,1.0,2.0,38.33,2.0,0.75,0.0,0.5054540966702026
95595,[13C].[14C][15N][17C]1([18O][15C])[16C][17O]1,[14C][15N][17C]1([18O][15C])[16C][17O]1,CNC1(OC)CO1,-0.4638000000000002,103.121,1.0,3.0,33.79,2.0,1.0,1.0,0.37891674009204424
95624,[13C].[14C][15N][16C][17C][18O][15C].[17O],[14C][15N][16C][17C][18O][15C],CNCCOC,-0.14780000000000015,89.13799999999999,1.0,2.0,21.259999999999998,3.0,1.0,0.0,0.48550167404168576
