,rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
15500,247177,[13C].[14C]1[17C]2[15C][18O][15N]12.[16C][17O],[14C]1[17C]2[15C][18O][15N]12,C1C2CON12,0.42859608979994024,0.779171042484729
15600,247845,[13C].[16C][17C]12[14C][15N][17O][15C]1[18O]2,[16C][17C]12[14C][15N][17O][15C]1[18O]2,CC12CNOC1O2,0.6655228485029927,0.8605414987559755
15700,248585,[13C].[16C]=[18O].[17O][15C]1[17C]2[14C][15N]12,[17O][15C]1[17C]2[14C][15N]12,OC1C2CN12,0.19974988258760143,0.9602495164685552
15800,249723,[13C].[16C].[17O].[18O][17C]1=[15C][15N][14C]1,[18O][17C]1=[15C][15N][14C]1,OC1=CNC1,0.25366941544246935,0.7824846350092649
15900,251190,[13C].[18O][15C][16C]1[17C][14C][15N][17O]1,[18O][15C][16C]1[17C][14C][15N][17O]1,OCC1CCNO1,0.5430831938678236,0.9630917916980387
16000,252247,[13C].[18O][15N]1[14C][17C][17O][16C][15C]1,[18O][15N]1[14C][17C][17O][16C][15C]1,ON1CCOCC1,0.4696214750805125,0.7487404442021286
16100,253357,[13C].[17O].[18O][16C][15C][17C]1[14C][15N]1,[18O][16C][15C][17C]1[14C][15N]1,OCCC1CN1,0.20999285620174796,0.9729436841141516
16200,254261,[13C].[14C]1[15N][17C]12[15C]1[17O][18O][16C]12,[14C]1[15N][17C]12[15C]1[17O][18O][16C]12,C1NC12C1OOC12,0.22800728068316,0.950861434343366
16300,256472,[13C].[15N][14C][17C]1[16C]=[15C][18O][17O]1,[15N][14C][17C]1[16C]=[15C][18O][17O]1,NCC1C=COO1,0.2899969441690298,0.8423000393321176
16400,259822,[13C].[15C].[15N][14C]1[18O][17C]1[16C]=[17O],[15N][14C]1[18O][17C]1[16C]=[17O],NC1OC1C=O,0.23131279770215102,0.9823803265205953
16500,260555,[13C].[15C][15N]1[17O][17C]2([16C])[18O][14C]12,[15C][15N]1[17O][17C]2([16C])[18O][14C]12,CN1OC2(C)OC12,0.3487220620311749,0.874867254269601
16600,261259,[13C].[15C][17C]1[16C][15N][14C]1[18O].[17O],[15C][17C]1[16C][15N][14C]1[18O],CC1CNC1O,0.4772909009475054,0.6528908790554196
16700,262068,[13C].[15C]=[17C]([17O])[14C]([15N])[18O].[16C],[15C]=[17C]([17O])[14C]([15N])[18O],C=C(O)C(N)O,0.5309223713006261,0.9808735524979864
16800,263121,[13C].[15C]1[16C][18O][14C]2[17C][15N]2[17O]1,[15C]1[16C][18O][14C]2[17C][15N]2[17O]1,C1COC2CN2O1,0.5226340151482048,0.6746808242867142
16900,263987,[13C].[17O][15N]1[14C]2[17C][15C][16C]1[18O]2,[17O][15N]1[14C]2[17C][15C][16C]1[18O]2,ON1C2CCC1O2,0.4611481602849041,0.9496308447849684
17000,265348,[13C].[17O]=[15N][14C]1[17C][16C]=[15C][18O]1,[17O]=[15N][14C]1[17C][16C]=[15C][18O]1,O=NC1CC=CO1,0.4640648721420112,0.894457810688653
17100,269105,[13C].[15C][18O][16C][15N]1[14C]2[17O][17C]21,[15C][18O][16C][15N]1[14C]2[17O][17C]21,COCN1C2OC21,0.08473273898511913,0.9789414902176988
17200,269766,[13C].[16C][17C]1[14C]([17O])[15N]1[15C][18O],[16C][17C]1[14C]([17O])[15N]1[15C][18O],CC1C(O)N1CO,0.45550342870387417,0.6515381838419707
17300,270453,[13C].[15C]1[18O][16C]=[15N][14C]2[17O][17C]12,[15C]1[18O][16C]=[15N][14C]2[17O][17C]12,C1OC=NC2OC12,0.5169340342984775,0.675649904928927
17400,271166,[13C].[15C]=[17C]1[17O][14C]1[15N][16C].[18O],[15C]=[17C]1[17O][14C]1[15N][16C],C=C1OC1NC,0.17954721426644757,0.9035416146325421
17500,272279,[13C].[16C][15C][17O][14C]([15N])[17C]=[18O],[16C][15C][17O][14C]([15N])[17C]=[18O],CCOC(N)C=O,0.4373219726106991,0.7564884693173771
17600,273118,[13C].[18O]=[15N][14C]1[17O][16C]2[15C][17C]12,[18O]=[15N][14C]1[17O][16C]2[15C][17C]12,O=NC1OC2CC12,0.2684170301413031,0.8621403297713534
17700,274552,[13C].[18O]=[17C][14C]1[15N][16C]=[15C][17O]1,[18O]=[17C][14C]1[15N][16C]=[15C][17O]1,O=CC1NC=CO1,0.38915267128942116,0.8409929985122835
17800,281649,[13C].[15C][17O].[16C][15N]=[14C][17C][18O],[16C][15N]=[14C][17C][18O],CN=CCO,0.09102942333502695,0.9472320805503733
17900,282535,[13C].[15C][17C]([16C])[14C]=[15N][17O][18O],[15C][17C]([16C])[14C]=[15N][17O][18O],CC(C)C=NOO,0.15803665871056202,0.8999100609106175
18000,283324,[13C].[17O][15C]1[15N]=[14C][17C]1[16C][18O],[17O][15C]1[15N]=[14C][17C]1[16C][18O],OC1N=CC1CO,0.5765353197906828,0.7882338297545592
18100,284621,[13C].[17C][14C]=[15N][16C]1[15C][17O]1.[18O],[17C][14C]=[15N][16C]1[15C][17O]1,CC=NC1CO1,0.11608639390371103,0.9727371604938503
18200,285897,[13C].[14C]1=[15N][15C]2[16C][17O][17C]12.[18O],[14C]1=[15N][15C]2[16C][17O][17C]12,C1=NC2COC12,,
18300,296850,[13C].[14C]=[17C]1[15N]=[16C][18O][17O]1.[15C],[14C]=[17C]1[15N]=[16C][18O][17O]1,C=C1N=COO1,0.3001777536386974,0.6998222463631568
18400,297999,[13C].[14C]=[17C]([17O][15C])[18O][15N]=[16C],[14C]=[17C]([17O][15C])[18O][15N]=[16C],C=C(OC)ON=C,0.2869142148540671,0.7976933955225679
18500,299041,[13C].[14C]=[17C]([16C])[17O].[15C][15N][18O],[14C]=[17C]([16C])[17O],C=C(C)O,0.4621355558243595,0.5802631865945697
18600,299893,[13C].[14C]=[17C]=[16C][18O][15N]1[15C][17O]1,[14C]=[17C]=[16C][18O][15N]1[15C][17O]1,C=C=CON1CO1,0.1513655822092429,0.9516741068675938
18700,301028,[13C].[14C]=[17C]([18O])[16C]=[17O].[15C]#[15N],[14C]=[17C]([18O])[16C]=[17O],C=C(O)C=O,0.2714744737324255,0.729346497936434
18800,301888,[13C].[14C]=[17C]1[15C][17O]1.[16C][15N][18O],[14C]=[17C]1[15C][17O]1,C=C1CO1,0.22788402585122483,0.813728649956595
18900,302622,[13C].[14C]=[17C]1[17O][16C][15N]2[18O][15C]12,[14C]=[17C]1[17O][16C][15N]2[18O][15C]12,C=C1OCN2OC12,0.4279234588382962,0.6812621574221566
19000,304116,[13C].[14C]=[17C][15N]([18O])[16C][15C].[17O],[14C]=[17C][15N]([18O])[16C][15C],C=CN(O)CC,0.23346864008368842,0.8241859680746755
19100,305424,[13C].[14C]=[17C][15N]1[16C][15C]([17O])[18O]1,[14C]=[17C][15N]1[16C][15C]([17O])[18O]1,C=CN1CC(O)O1,0.1655950175966428,0.9640533036685576
19200,306718,[13C].[14C]=[17C]1[16C][15C]([15N][18O])[17O]1,[14C]=[17C]1[16C][15C]([15N][18O])[17O]1,C=C1CC(NO)O1,0.16966837002334956,0.8904212776226427
19300,308325,[13C].[14C]=[17C]1[15C]2[17O][18O][16C]21.[15N],[14C]=[17C]1[15C]2[17O][18O][16C]21,C=C1C2OOC21,0.2676770473865773,0.900801099839455
19400,310866,[13C].[14C]=[17C][15N]1[15C]=[16C]1.[17O].[18O],[14C]=[17C][15N]1[15C]=[16C]1,C=CN1C=C1,0.17014633144958363,0.9219791293956844
19500,313985,[13C].[15C]=[17O].[15N].[16C][18O][14C]=[17C],[16C][18O][14C]=[17C],COC=C,0.10131094425252174,0.9262654709386718
19600,314894,[13C].[16C][17C](=[14C][18O])[17O][15C]=[15N],[16C][17C](=[14C][18O])[17O][15C]=[15N],CC(=CO)OC=N,0.5554852541452376,0.6880071796564889
19700,315746,[13C].[14C]1=[17C][15C]2[15N][16C]([17O]2)[18O]1,[14C]1=[17C][15C]2[15N][16C]([17O]2)[18O]1,C1=CC2NC(O2)O1,0.5955041919006119,0.7674539463699458
19800,317088,[13C].[14C]1=[17C]([15N]2[15C][16C]2)[17O][18O]1,[14C]1=[17C]([15N]2[15C][16C]2)[17O][18O]1,C1=C(N2CC2)OO1,0.1388564767011944,0.8815970422071657
19900,318657,[13C].[15C]=[16C].[17C]=[14C][18O][15N]=[17O],[17C]=[14C][18O][15N]=[17O],C=CON=O,0.21958356718935648,0.8500570666488826
20000,322786,[13C].[15C][18O][17O][14C]=[17C]1[16C][15N]1,[15C][18O][17O][14C]=[17C]1[16C][15N]1,COOC=C1CN1,0.09904483560848278,0.9262241169494498
20100,323624,[13C].[15N][15C][17O][14C]=[17C]1[16C][18O]1,[15N][15C][17O][14C]=[17C]1[16C][18O]1,NCOC=C1CO1,0.09682042242555974,0.9413947149040643
20200,324572,[13C].[16C].[18O][17C]1=[14C][17O][15N][15C]1,[18O][17C]1=[14C][17O][15N][15C]1,OC1=CONC1,0.29307426158959443,0.7586733329641255
20300,325967,[13C].[16C][15C]([17O][14C]=[17C])[18O][15N],[16C][15C]([17O][14C]=[17C])[18O][15N],CC(OC=C)ON,0.2592340632112442,0.8681475694034269
20400,327245,[13C].[16C][15C]1[17C]=[14C][17O][15N]1.[18O],[16C][15C]1[17C]=[14C][17O][15N]1,CC1C=CON1,0.3399072380079838,0.7519439479028558
20500,334822,[13C].[15C].[16C][17C]=[14C][15N][17O].[18O],[16C][17C]=[14C][15N][17O],CC=CNO,0.164199592480876,0.8592535162931358
20600,335922,[13C].[15C]=[17O].[16C][15N][14C]=[17C]=[18O],[16C][15N][14C]=[17C]=[18O],CNC=C=O,0.19357121239523406,0.8701144681012734
20700,336870,[13C].[15C]=[15N][14C]=[17C]1[16C][18O][17O]1,[15C]=[15N][14C]=[17C]1[16C][18O][17O]1,C=NC=C1COO1,0.1662396248188603,0.9201706517604726
20800,337772,[13C].[17O]=[15C][17C]=[14C][15N][16C][18O],[17O]=[15C][17C]=[14C][15N][16C][18O],O=CC=CNCO,0.09390239940933948,0.9289487801343337
20900,339281,[13C].[15N][14C]=[17C][16C]([17O])[15C][18O],[15N][14C]=[17C][16C]([17O])[15C][18O],NC=CC(O)CO,0.20170990891165974,0.8589074822166782
21000,340785,[13C].[16C][15C][17C]=[14C][15N]=[17O].[18O],[16C][15C][17C]=[14C][15N]=[17O],CCC=CN=O,0.13267312945999574,0.9297152665791931
21100,342630,[13C].[14C]1=[17C]2[18O][17O][15C]=[16C][15N]12,[14C]1=[17C]2[18O][17O][15C]=[16C][15N]12,C1=C2OOC=CN12,0.3605341598234183,0.6394658401765824
21200,358671,[13C].[14C]#[17C][18O][15C][17O][16C]=[15N],[14C]#[17C][18O][15C][17O][16C]=[15N],C#COCOC=N,0.0784508031951654,0.9425058267587321
21300,359784,[13C].[14C]#[17C][18O][15C]=[15N].[16C].[17O],[14C]#[17C][18O][15C]=[15N],C#COC=N,0.2158928451538194,0.799645622314324
21400,360942,[13C].[14C]#[17C][17O][15N][16C]([15C])[18O],[14C]#[17C][17O][15N][16C]([15C])[18O],C#CONC(C)O,0.26863400156654393,0.7816063046784194
21500,362830,[13C].[14C]#[17C][15C]([16C])[18O][15N]=[17O],[14C]#[17C][15C]([16C])[18O][15N]=[17O],C#CC(C)ON=O,0.41005957842956303,0.7697961270076616
21600,376416,[13C].[14C][16C]=[15N][18O][17C]=[17O].[15C],[14C][16C]=[15N][18O][17C]=[17O],CC=NOC=O,0.17369844882964935,0.8883443817320524
21700,377586,[13C].[14C][16C]1[17C]=[15N][17O]1.[15C][18O],[14C][16C]1[17C]=[15N][17O]1,CC1C=NO1,0.3533914262764545,0.8157830885137792
21800,378745,[13C].[14C][16C]1[18O][15C][17O][15N]1[17C],[14C][16C]1[18O][15C][17O][15N]1[17C],CC1OCON1C,0.5039461952269837,0.5990206374097414
21900,379751,[13C].[14C][16C][17C]=[18O].[15C][15N].[17O],[14C][16C][17C]=[18O],CCC=O,0.12283218778090335,0.9277992411436149
22000,380729,[13C].[14C][16C]=[17C][15N]([17O])[15C]=[18O],[14C][16C]=[17C][15N]([17O])[15C]=[18O],CC=CN(O)C=O,0.25709844867630127,0.7552789784398287
22100,381771,[13C].[14C][16C]([15N]=[15C])[18O][17O][17C],[14C][16C]([15N]=[15C])[18O][17O][17C],CC(N=C)OOC,0.2739415039236041,0.8103351554704072
22200,383068,[13C].[14C][16C][18O].[15C][17C]([15N])=[17O],[15C][17C]([15N])=[17O],CC(N)=O,0.4773735993793128,0.5607117356568417
22300,384077,[13C].[14C][16C][17O][15N].[17C][15C][18O],[14C][16C][17O][15N],CCON,0.3025324325036641,0.8810268813507478
22400,384866,[13C].[14C][16C]1[17O][15C][17C][15N]1[18O],[14C][16C]1[17O][15C][17C][15N]1[18O],CC1OCCN1O,0.5031311303789622,0.5814206894473087
22500,385875,[13C].[14C][16C][17O].[18O][15N]1[15C][17C]1,[18O][15N]1[15C][17C]1,ON1CC1,0.3408534450263716,0.8442315947705598
22600,386888,[13C].[14C][16C].[17C][15C]([15N])[17O].[18O],[17C][15C]([15N])[17O],CC(N)O,0.5472879431528,0.5824016896621131
22700,388562,[13C].[14C][16C][15N]=[17O].[15C]=[17C][18O],[14C][16C][15N]=[17O],CCN=O,0.2609311711661346,0.8151783160461675
22800,389764,[13C].[14C][16C]([17C]=[15C][17O])[15N][18O],[14C][16C]([17C]=[15C][17O])[15N][18O],CC(C=CO)NO,0.3271594763206968,0.8373479724097928
22900,393175,[13C].[14C][16C][15C][18O][17O].[15N].[17C],[14C][16C][15C][18O][17O],CCCOO,0.21360041991084866,0.9258209702572031
23000,394733,[13C].[14C][16C]([15C][15N]=[18O])[17O][17C],[14C][16C]([15C][15N]=[18O])[17O][17C],CC(CN=O)OC,0.4687997788039472,0.768020787818403
23100,396749,[13C].[14C][16C][15C][17C]1([17O])[15N][18O]1,[14C][16C][15C][17C]1([17O])[15N][18O]1,CCCC1(O)NO1,0.24686016987570636,0.8995416498632617
23200,398090,[13C].[14C][16C]1[15C]([17O][18O])[17C]1=[15N],[14C][16C]1[15C]([17O][18O])[17C]1=[15N],CC1C(OO)C1=N,0.3417969221247266,0.7448052804196145
23300,403125,[13C].[14C][16C]=[15C][17C]1[15N][17O]1.[18O],[14C][16C]=[15C][17C]1[15N][17O]1,CC=CC1NO1,0.17774393015045337,0.9461935766633028
23400,405628,[13C].[15C][17O][18O][14C][16C][17C].[15N],[15C][17O][18O][14C][16C][17C],COOCCC,0.2016580213324932,0.9134046477865896
23500,406476,[13C].[17C][16C][14C][18O][15C][15N][17O],[17C][16C][14C][18O][15C][15N][17O],CCCOCNO,0.11746568750290717,0.9756683249090112
23600,407360,[13C].[15C]#[15N].[17C].[17O]=[16C][14C][18O],[17O]=[16C][14C][18O],O=CCO,0.2633694784146,0.7755924878876402
23700,408182,[13C].[18O][14C][16C][15N]1[17C][15C][17O]1,[18O][14C][16C][15N]1[17C][15C][17O]1,OCCN1CCO1,0.15404968662408489,0.9425674905470819
23800,409023,[13C].[17C][15C]([15N])[17O][16C][14C][18O],[17C][15C]([15N])[17O][16C][14C][18O],CC(N)OCCO,0.19847740586858476,0.9057403766993828
23900,410149,[13C].[15N].[17C]=[15C][17O][16C]1[14C][18O]1,[17C]=[15C][17O][16C]1[14C][18O]1,C=COC1CO1,0.11426611550767976,0.9722230896648653
24000,412280,[13C].[17O]=[15C][16C]1[14C][18O][15N][17C]1,[17O]=[15C][16C]1[14C][18O][15N][17C]1,O=CC1CONC1,0.24423776479943993,0.8384120193325771
24100,413707,[13C].[15N].[17C][15C]([17O])[16C]1[14C][18O]1,[17C][15C]([17O])[16C]1[14C][18O]1,CC(O)C1CO1,0.32914145473465606,0.7968893343134218
24200,417319,[13C].[17C][15N]([15C][17O])[16C][14C]=[18O],[17C][15N]([15C][17O])[16C][14C]=[18O],CN(CO)CC=O,0.36860497010063487,0.6863094472042668
24300,418926,[13C].[18O]=[14C][16C]1[15C][17C][17O][15N]1,[18O]=[14C][16C]1[15C][17C][17O][15N]1,O=CC1CCON1,0.2973267966677355,0.8459685363255872
24400,420736,[13C].[15C][18O].[15N][17C]1=[16C][14C][17O]1,[15N][17C]1=[16C][14C][17O]1,NC1=CCO1,0.24876326754021977,0.7944650001376374
24500,421754,[13C].[14C]1[16C]=[17C]2[18O][15C][15N]2[17O]1,[14C]1[16C]=[17C]2[18O][15C][15N]2[17O]1,C1C=C2OCN2O1,0.323838743096763,0.7674610085780423
24600,422715,[13C].[14C]1[16C][17O]1.[15C][17C][15N][18O],[15C][17C][15N][18O],CCNO,0.16328890819407801,0.955479371856998
24700,423613,[13C].[16C][14C][17O][15C]1[18O][17C]1=[15N],[16C][14C][17O][15C]1[18O][17C]1=[15N],CCOC1OC1=N,0.18243644142459411,0.8941385257583555
24800,424852,[13C].[15C]=[17C]([15N])[17O][14C][16C].[18O],[15C]=[17C]([15N])[17O][14C][16C],C=C(N)OCC,0.1848297603297022,0.8446185895577372
24900,426770,[13C].[15C][16C]([14C][17O][18O])[15N]=[17C],[15C][16C]([14C][17O][18O])[15N]=[17C],CC(COO)N=C,0.24349802907391122,0.8230719136062598
25000,428397,[13C].[15N][18O][17C][15C][16C][14C][17O],[15N][18O][17C][15C][16C][14C][17O],NOCCCCO,0.09296300686506719,0.9514830831699295
25100,430502,[13C].[15C]=[16C][14C][17O][15N][17C][18O],[15C]=[16C][14C][17O][15N][17C][18O],C=CCONCO,0.07198809615796266,0.9868773230774194
25200,432705,[13C].[15C][15N]1[16C]2[14C]3[17O][17C]21[18O]3,[15C][15N]1[16C]2[14C]3[17O][17C]21[18O]3,CN1C2C3OC21O3,0.3686869753065907,0.9222387753892308
25300,433529,[13C].[15C]1[17O][14C]2[16C][17C]1[18O]2.[15N],[15C]1[17O][14C]2[16C][17C]1[18O]2,C1OC2CC1O2,0.7365575406081714,0.9051412973534898
25400,434933,[13C].[15C][16C]1[18O][14C]1[17O][17C][15N],[15C][16C]1[18O][14C]1[17O][17C][15N],CC1OC1OCN,0.2512502198564473,0.8316142160347493
25500,436241,[13C].[15N][17C]1=[15C][16C][14C]([17O])[18O]1,[15N][17C]1=[15C][16C][14C]([17O])[18O]1,NC1=CCC(O)O1,0.39274773413214886,0.853506668691845
25600,440907,[13C].[17O]=[14C][16C]1[15C]2[15N][17C]21.[18O],[17O]=[14C][16C]1[15C]2[15N][17C]21,O=CC1C2NC21,0.11493128285829719,0.9798307086803429
25700,443875,[13C].[15C][18O][16C][14C][15N][17O].[17C],[15C][18O][16C][14C][15N][17O],COCCNO,0.22929094536295772,0.9133239788199466
25800,444811,[13C].[16C][14C][15N]=[17C]1[17O][15C][18O]1,[16C][14C][15N]=[17C]1[17O][15C][18O]1,CCN=C1OCO1,0.12316304332858329,0.9189630098756487
25900,445709,[13C].[17C].[17O][16C][14C][15N]1[15C][18O]1,[17O][16C][14C][15N]1[15C][18O]1,OCCN1CO1,0.1819395920602715,0.9363804401592168
26000,446716,[13C].[15C][17C][18O][15N]([17O])[14C][16C],[15C][17C][18O][15N]([17O])[14C][16C],CCON(O)CC,0.18223582589216908,0.9087171056387782
26100,447501,[13C].[17O]=[16C][14C][15N]=[17C]1[15C][18O]1,[17O]=[16C][14C][15N]=[17C]1[15C][18O]1,O=CCN=C1CO1,0.1393929151307034,0.9404387155987528
26200,448314,[13C].[15N][14C][16C]1[17C][15C]([18O])[17O]1,[15N][14C][16C]1[17C][15C]([18O])[17O]1,NCC1CC(O)O1,0.22265586633120493,0.9407187550862898
26300,449307,[13C].[18O][17O][15C]1[17C][16C]2[14C][15N]12,[18O][17O][15C]1[17C][16C]2[14C][15N]12,OOC1CC2CN12,0.23618857496053816,0.8996050596972289
26400,450573,[13C].[17O][15C]=[17C][15N][14C][16C]=[18O],[17O][15C]=[17C][15N][14C][16C]=[18O],OC=CNCC=O,0.16783648800886036,0.904036028843923
26500,452805,[13C].[17O][17C]1=[15N][14C][16C][15C][18O]1,[17O][17C]1=[15N][14C][16C][15C][18O]1,OC1=NCCCO1,0.3546025314322494,0.7265664672164142
26600,454075,[13C].[17C][16C]1[14C][15N][15C]1[18O].[17O],[17C][16C]1[14C][15N][15C]1[18O],CC1CNC1O,0.5259091394879336,0.730716346236478
26700,455501,[13C].[15N][14C][16C]1[17O][15C]1[17C][18O],[15N][14C][16C]1[17O][15C]1[17C][18O],NCC1OC1CO,0.2132260795095429,0.9270080205219376
26800,458676,[13C].[18O][17O][17C]1[15C]=[16C][14C][15N]1,[18O][17O][17C]1[15C]=[16C][14C][15N]1,OOC1C=CCN1,0.22050937024718015,0.8626155156660719
26900,460663,[13C].[15C][15N][14C]1[18O][16C]1[17O][17C],[15C][15N][14C]1[18O][16C]1[17O][17C],CNC1OC1OC,0.13945442776373124,0.950026426923998
27000,461430,[13C].[15C][17C]12[18O][14C]3[16C]1[17O][15N]32,[15C][17C]12[18O][14C]3[16C]1[17O][15N]32,CC12OC3C1ON32,,
27100,462366,[13C].[17C][15C]=[15N][14C]([18O])[16C]=[17O],[17C][15C]=[15N][14C]([18O])[16C]=[17O],CC=NC(O)C=O,0.2465391666394165,0.821781255323808
27200,463911,[13C].[17O][17C]1[15N][14C]2[18O][15C][16C]21,[17O][17C]1[15N][14C]2[18O][15C][16C]21,OC1NC2OCC21,,
27300,465157,[13C].[17O]1[16C]2[14C]3[18O][17C]14[15C]2[15N]34,[17O]1[16C]2[14C]3[18O][17C]14[15C]2[15N]34,O1C2C3OC14C2N34,,
27400,469255,[13C].[15C][18O][16C]1[14C]([17O])[15N]1[17C],[15C][18O][16C]1[14C]([17O])[15N]1[17C],COC1C(O)N1C,0.4119105513820586,0.6902621023337314
27500,470131,[13C].[15C]=[15N][14C]([17O])[16C]=[18O].[17C],[15C]=[15N][14C]([17O])[16C]=[18O],C=NC(O)C=O,0.3386271423728004,0.7473880468469896
27600,470946,[13C].[16C]1[18O][15C]2[17C]=[15N][14C]1[17O]2,[16C]1[18O][15C]2[17C]=[15N][14C]1[17O]2,C1OC2C=NC1O2,0.731106566182758,0.8690117928952409
27700,472105,[13C].[18O][17C]1=[15C][15N]2[17O][14C]2[16C]1,[18O][17C]1=[15C][15N]2[17O][14C]2[16C]1,OC1=CN2OC2C1,0.22003367652008565,0.8431391942705312
27800,473675,[13C].[15C]1[17C][18O][16C]1[14C]1[15N][17O]1,[15C]1[17C][18O][16C]1[14C]1[15N][17O]1,C1COC1C1NO1,0.20585846102649302,0.8798754997860155
27900,481254,[13C].[15C].[17O].[18O][17C]1[16C][14C]=[15N]1,[18O][17C]1[16C][14C]=[15N]1,OC1CC=N1,0.35320011709735966,0.8131116734206293
28000,482336,[13C].[14C]1=[15N][15C][18O][17C][16C]1.[17O],[14C]1=[15N][15C][18O][17C][16C]1,C1=NCOCC1,0.5694801577409,0.6069303876773495
28100,483335,[13C].[15N]=[14C][16C][17C]12[17O][15C]1[18O]2,[15N]=[14C][16C][17C]12[17O][15C]1[18O]2,N=CCC12OC1O2,0.46400272783559754,0.9007818571882596
28200,484906,[13C].[15C][16C][14C]=[15N][18O][17O].[17C],[15C][16C][14C]=[15N][18O][17O],CCC=NOO,0.1000300484986679,0.9238289412278924
28300,486233,[13C].[18O][15C]1[16C]2[14C]=[15N][17O][17C]12,[18O][15C]1[16C]2[14C]=[15N][17O][17C]12,OC1C2C=NOC12,0.5624235439464592,0.9255491074958307
28400,496875,[13C].[14C]1[16C][15N]2[17O][17C]1[18O]2.[15C],[14C]1[16C][15N]2[17O][17C]1[18O]2,C1CN2OC1O2,0.708957787443316,0.8603385644155132
28500,497950,[13C].[15C][18O][17O][16C]1[14C][17C]1.[15N],[15C][18O][17O][16C]1[14C][17C]1,COOC1CC1,0.21279989065415567,0.9178984538881605
28600,498893,[13C].[14C]1[17C][15N]2[18O][15C][17O][16C]12,[14C]1[17C][15N]2[18O][15C][17O][16C]12,C1CN2OCOC12,0.4135662688700516,0.7466138023535471
28700,499672,[13C].[15C][15N]1[17O][16C]1[14C][17C]=[18O],[15C][15N]1[17O][16C]1[14C][17C]=[18O],CN1OC1CC=O,0.19602299395822642,0.9119850721821284
28800,500625,[13C].[14C]1[16C]2[17O][15C][15N]=[17C]1[18O]2,[14C]1[16C]2[17O][15C][15N]=[17C]1[18O]2,C1C2OCN=C1O2,0.5844398060235811,0.8255749962549349
28900,501576,[13C].[15C]=[15N][17O][17C]1=[16C][14C]1.[18O],[15C]=[15N][17O][17C]1=[16C][14C]1,C=NOC1=CC1,0.19870453706604604,0.8454844983418925
29000,502727,[13C].[15C][17C]1[14C][16C]2[17O][15N]21.[18O],[15C][17C]1[14C][16C]2[17O][15N]21,CC1CC2ON21,0.3737932415120696,0.843594854916744
29100,503703,[13C].[18O][15N][16C]1[14C][17C][15C][17O]1,[18O][15N][16C]1[14C][17C][15C][17O]1,ONC1CCCO1,0.4128298531782847,0.9117137488872087
29200,504628,[13C].[17O][17C]12[14C][16C]1[18O][15N][15C]2,[17O][17C]12[14C][16C]1[18O][15N][15C]2,OC12CC1ONC2,0.5283604684271919,0.8345549086011441
29300,506182,[13C].[15C]=[17C]1[14C][16C][18O][15N]1[17O],[15C]=[17C]1[14C][16C][18O][15N]1[17O],C=C1CCON1O,0.47113749756463974,0.5680411378592294
29400,508133,[13C].[15C][16C]([14C][17C][18O])[17O][15N],[15C][16C]([14C][17C][18O])[17O][15N],CC(CCO)ON,0.20969652861575674,0.8718170144748174
29500,509479,[13C].[15N][17C]1[14C][16C][15C]([18O])[17O]1,[15N][17C]1[14C][16C][15C]([18O])[17O]1,NC1CCC(O)O1,0.3589799510786889,0.7956910289927478
29600,510817,[13C].[18O][17O][15C]1[15N][17C]2[14C][16C]12,[18O][17O][15C]1[15N][17C]2[14C][16C]12,OOC1NC2CC12,0.22007753547129524,0.9181014077788358
29700,512680,[13C].[15N][17C]12[14C][16C]1[15C]2[17O].[18O],[15N][17C]12[14C][16C]1[15C]2[17O],NC12CC1C2O,0.4051862933532996,0.8086976270692081
29800,517351,[13C].[15C].[16C][14C]1[18O][17C]1[17O][15N],[16C][14C]1[18O][17C]1[17O][15N],CC1OC1ON,0.18242085530826188,0.9474697428196621
29900,518453,[13C].[15C][15N]1[17O][17C]12[18O][14C]2[16C],[15C][15N]1[17O][17C]12[18O][14C]2[16C],CN1OC12OC2C,0.2961795828186456,0.9816211588988015
30000,519261,[13C].[15C]=[15N][17O][17C]1[16C][14C]1[18O],[15C]=[15N][17O][17C]1[16C][14C]1[18O],C=NOC1CC1O,0.1568017687959773,0.9219616018324084
30100,520233,[13C].[15C]1[17O][15N]2[18O][14C]3[16C][17C]132,[15C]1[17O][15N]2[18O][14C]3[16C][17C]132,C1ON2OC3CC132,0.5194875281065845,0.681021553436224
30200,521319,[13C].[15C]=[17C][14C]1[18O][15N]2[17O][16C]12,[15C]=[17C][14C]1[18O][15N]2[17O][16C]12,C=CC1ON2OC12,0.1941605320934036,0.9128233383415271
30300,522776,[13C].[15N][16C]([15C]=[17O])[14C]1[17C][18O]1,[15N][16C]([15C]=[17O])[14C]1[17C][18O]1,NC(C=O)C1CO1,0.398125177342364,0.8101162230028282
30400,524062,[13C].[15N][18O][14C]1[16C]2[15C]3[17O][17C]132,[15N][18O][14C]1[16C]2[15C]3[17O][17C]132,NOC1C2C3OC132,0.18074087811418477,0.9030705448718823
30500,528783,[13C].[15C].[15N][17O][14C]1[16C][17C]1.[18O],[15N][17O][14C]1[16C][17C]1,NOC1CC1,0.19544769077867086,0.9406666449246942
30600,529792,[13C].[15C][15N]=[17C]1[16C][14C]1[17O].[18O],[15C][15N]=[17C]1[16C][14C]1[17O],CN=C1CC1O,0.206144178086456,0.8899667243456875
