,smiles,min_dist_all,natoms,drugbank_matches
432,CONC(C)=O,7.0,6,21
433,CC=NOC,8.0,5,71
434,CC=NOOC,9.0,6,0
435,COC(C)=N,8.0,5,21
436,COC(C)=NO,9.0,6,2
437,COOC(C)=N,9.0,6,0
438,CON=C(C)O,9.0,6,2
439,COCCO,6.0,5,1748
440,COCCON,8.0,6,5
441,COCC=O,5.0,5,493
442,COCCN,6.0,5,1195
443,COCCNO,7.0,6,6
444,COCCN=O,8.0,6,1
445,COCC(N)O,8.0,6,32
446,COCC1NO1,9.0,6,0
447,COCC(N)=O,7.0,6,159
448,COCC=N,8.0,5,10
449,COCC=NO,9.0,6,3
450,COCC(=N)O,9.0,6,1
451,COCC1=NO1,10.0,6,0
452,COCC#N,9.0,5,7
453,COC1CO1,5.0,5,0
454,COOCCN,7.0,6,0
455,CONCCO,7.0,6,2
456,CON1CCO1,8.0,6,0
457,COC(N)CO,8.0,6,391
458,COC1CON1,9.0,6,0
459,CONC1CO1,9.0,6,0
460,COC1(N)CO1,7.0,6,0
461,COOCC=N,9.0,6,0
462,CON=CCO,9.0,6,2
463,COC(=N)CO,9.0,6,0
464,COC1=NOC1,10.0,6,0
465,CON=C1CO1,10.0,6,0
466,COOCC#N,10.0,6,0
467,COC(O)CN,6.0,6,95
468,COC1CNO1,7.0,6,0
469,COC1OC1N,7.0,6,0
470,COC(O)C=N,7.0,6,0
471,COC1C=NO1,8.0,6,0
472,COC1OC1=N,8.0,6,0
473,COC(O)C#N,8.0,6,0
474,CONCC=O,7.0,6,1
475,COC(N)C=O,7.0,6,34
476,CON=CC=O,8.0,6,27
477,COC(=N)C=O,8.0,6,0
478,COC(=O)CN,5.0,6,157
479,COC(=O)C=N,6.0,6,0
480,COC(=O)C#N,7.0,6,0
481,CON1CC1,5.0,5,0
482,COON1CC1,6.0,6,0
483,COC1CN1,5.0,5,0
484,COC1CN1O,6.0,6,0
485,COOC1CN1,6.0,6,0
486,CON1CC1O,6.0,6,0
487,COC1(O)CN1,6.0,6,0
488,COC12CN1O2,7.0,6,0
489,CON1CC1=O,7.0,6,0
490,COC1=NC1,6.0,5,0
491,COOC1=NC1,7.0,6,0
492,COC1NC1O,9.0,6,0
493,COC1C2ON12,10.0,6,0
494,COC1NC1=O,8.0,6,0
495,COC1C=N1,9.0,5,0
496,COC1N=C1O,10.0,6,0
497,CON1C2OC21,10.0,6,0
498,COC12NC1O2,8.0,6,0
499,COOC1C=N1,10.0,6,0
500,COC1=NC1O,10.0,6,0
501,COC1(O)C=N1,8.0,6,0
502,COC12N=C1O2,9.0,6,0
503,COc1nc1=O,9.0,6,0
504,C=COC,5.0,4,88
505,C=COOC,6.0,5,0
506,C=CONOC,8.0,6,0
507,C=C(O)OC,5.0,5,0
508,C=C(OC)ON,7.0,6,0
509,C=CNOC,7.0,5,0
510,C=CNOOC,8.0,6,0
511,C=CN(O)OC,8.0,6,0
512,C=C(N)OC,7.0,5,1
513,C=C(NO)OC,8.0,6,0
514,C=C(N=O)OC,9.0,6,0
515,C=C(N)OOC,8.0,6,0
516,C=C(O)NOC,8.0,6,0
517,C=C1ON1OC,9.0,6,0
518,C=C=NOC,8.0,5,0
519,C=C=NOOC,9.0,6,0
520,COC=CO,6.0,5,8
521,COC=CON,8.0,6,0
522,COC=C=O,6.0,5,0
523,COC=CN,7.0,5,4
524,COC=CNO,8.0,6,0
525,COC=CN=O,9.0,6,0
526,COC=C(N)O,8.0,6,0
527,COC=C1NO1,9.0,6,0
528,COC=C=N,8.0,5,0
529,COC=C=NO,9.0,6,0
530,COC1=CO1,6.0,5,0
531,COOC=CN,8.0,6,0
532,CONC=CO,8.0,6,0
533,COn1cco1,9.0,6,0
534,COC(N)=CO,8.0,6,0
535,COc1co[nH]1,9.0,6,0
536,CONC1=CO1,9.0,6,0
537,COOC=C=N,9.0,6,0
538,CON=C=CO,9.0,6,0
539,COC(O)=CN,7.0,6,0
540,COc1c[nH]o1,8.0,6,0
541,COC1=C(N)O1,8.0,6,0
542,COC(O)=C=N,8.0,6,0
543,COC1=C=NO1,9.0,6,0
544,CONC=C=O,8.0,6,0
545,COC(N)=C=O,8.0,6,0
546,CON=C=C=O,9.0,6,0
547,CON1C=C1,8.0,5,0
548,COON1C=C1,9.0,6,0
549,COC1=CN1,8.0,5,0
550,COC1=CN1O,9.0,6,0
551,COOC1=CN1,9.0,6,0
552,CON1C=C1O,9.0,6,0
553,COC1=C(O)N1,9.0,6,0
554,COc1c2on1-2,10.0,6,0
555,COC1=C=N1,9.0,5,0
556,COn1c2oc1=2,10.0,6,0
557,COOC1=C=N1,10.0,6,0
558,C#COC,6.0,4,1
559,C#COOC,7.0,5,0
560,C#CONOC,9.0,6,0
561,C#CNOC,8.0,5,0
562,C#CNOOC,9.0,6,0
563,C#CN(O)OC,9.0,6,0
564,COC#CO,7.0,5,0
565,COC#CON,9.0,6,0
566,COC#CN,8.0,5,0
567,COC#CNO,9.0,6,0
568,COC#CN=O,10.0,6,0
569,COOC#CN,9.0,6,0
570,CONC#CO,9.0,6,0
571,COn1c#co1,10.0,6,0
572,CON1C#C1,9.0,5,0
573,COON1C#C1,10.0,6,0
574,CN(C)OCO,6.0,6,0
575,CNCOCO,6.0,6,10
576,CN1COCO1,7.0,6,0
577,CNC1OCO1,7.0,6,0
578,CN=COCO,7.0,6,0
579,CN=C1OCO1,8.0,6,0
580,C1NCOCO1,7.0,6,0
581,C=NCOCO,7.0,6,0
582,C1=NCOCO1,8.0,6,0
583,C=NC1OCO1,8.0,6,0
584,CCOCO,4.0,5,610
585,CCOCON,6.0,6,4
586,CC1OCO1,5.0,5,0
587,CCNOCO,5.0,6,2
588,CCN1OCO1,6.0,6,0
589,CC(N)OCO,6.0,6,12
590,CC1NOCO1,7.0,6,0
591,CC1(N)OCO1,7.0,6,0
592,CC=NOCO,7.0,6,2
593,CC(=N)OCO,7.0,6,0
594,CC1=NOCO1,8.0,6,0
595,C1COCO1,5.0,5,50
596,NCCOCO,5.0,6,119
597,C1COCON1,6.0,6,0
598,NC1COCO1,7.0,6,2
599,N=CCOCO,7.0,6,0
600,C1=NOCOC1,8.0,6,0
601,N=C1COCO1,8.0,6,0
602,N#CCOCO,8.0,6,0
603,NCC1OCO1,6.0,6,0
604,N=CC1OCO1,8.0,6,0
605,N#CC1OCO1,9.0,6,0
606,OCON1CC1,4.0,6,0
607,OCOC1CN1,4.0,6,0
608,C1OC2CN2O1,5.0,6,0
609,C1OC2(CN2)O1,5.0,6,0
610,OCOC1=NC1,5.0,6,0
611,C1OC2NC2O1,8.0,6,0
612,OCOC1C=N1,8.0,6,0
613,C1OC2=NC2O1,9.0,6,0
614,C1=NC12OCO2,9.0,6,0
615,C=COCO,4.0,5,21
616,C=COCON,6.0,6,0
617,C=C1OCO1,5.0,5,0
618,C=CNOCO,6.0,6,0
619,C=CN1OCO1,7.0,6,0
620,C=C(N)OCO,6.0,6,0
