rmat_tag,distance,SMILES
192500_S1,10.0,CCN1C2C(C)=CC=CC23OOC13[13CH2]
193300_S1,13.0,CCN1OC23C=CC=C(C)C12O3
193400_S1,10.0,CCN1C([13CH2])C2C=CC=C(C)C21O
193900_S1,8.0,CCN=C1C(C)=CC=CC1OC([13CH2])=O
194800_S1,11.0,CCNC([13CH2])C1C(C)=CC=CC1O
194900_S1,8.0,CCNC1C=CC=C(C)C1C([13CH2])(O)O
195200_S1,10.0,CCN1OC2([13CH2])C3C(C)=CC=CC32O1
195400_S1,12.0,CCN=C([13CH2])C1(O)CC=CC=C1C
195500_S1,12.0,CCN1C([13CH2])(O)C23OC12C=CC=C3C
195600_S1,10.0,CCNC1([13CH2])C2C=CC=C(C)C21O
195900_S1,13.0,CCNOC12C=CC=C(C)C1(C[13CH2])O2
196000_S1,10.0,CCN=C1C=CC=C(C)C12OC2([13CH2])O
197700_S1,11.0,CCN(O)OC([13CH2])=C1CC=CC=C1C
197800_S1,12.0,CCNC1C=CC=C(C)C1=C[13CH2]
197900_S1,14.0,CCN=C1C=CC=C(C)C1=C[13CH2]
199900_S1,8.0,[13CH2]COOC1=CC=CC=C1C
200600_S1,8.0,CCNC1=C(OC[13CH2])C=CC=C1C
201800_S1,8.0,CCNC([13CH2])(O)C1=CC=CC=C1C
204700_S1,10.0,CCNC(C=CC=C(C)C)O[13CH2]C=O
204900_S1,12.0,CCNC1[13CH2]OC1(O)C=CC=C(C)C
205000_S1,10.0,CCN=C(C=CC=C(C)C)C(O)[13CH2]O
205200_S1,15.0,CCN=C[13CH2]OCC(=CC=CC=O)C
205500_S1,11.0,OCC(=CC=CC1C[13CH2]O1)C
205600_S1,11.0,CC1=CC=CC2=C([13CH2]O2)OC1
205700_S1,12.0,CC1=CC=CC2C[13CH2]OC1O2
205900_S1,12.0,CCNCC(=CC=CCO[13CH2]C)C
206000_S1,14.0,CCN1CC(C)=CC=CC1(O)O[13CH2]C
206100_S1,12.0,CCN1CC(C)=CC=CC23O[13CH2]C12O3
206200_S1,11.0,CCNCC(=CC=CC1=C(O)[13CH2]O1)C
206500_S1,12.0,CCN1C2OC13[13CH2]OC3C=CC=C2C
206700_S1,12.0,CCN1C(=O)C(C)=CC=CC1C1[13CH2]O1
207100_S1,13.0,CCN=C1OC2=C(C=CC=C1C)O[13CH2]2
207400_S1,12.0,CCNCC=CC=C(C)CC[13CH2]O
207500_S1,14.0,CCN=C1C=CC=C(C)CC[13CH2]O1
207700_S1,14.0,CCN1O[13CH2]C2=C(C=CC=C(C)C2)O1
207800_S1,13.0,CCNC12[13CH2]OC1C(C)=CC=CC2O
207900_S1,13.0,CCN1CC=CC=C(C)C2OC21[13CH2]O
208000_S1,14.0,CCN1O[13CH2]C2C3OC21C=CC=C3C
208200_S1,12.0,CC=CC=C(C)C(C1[13CH2]O1)N(O)CC
208300_S1,15.0,CCN1C2C=CC=C(C)C1C[13CH2]OO2
208400_S1,11.0,CCN1C2C=CC=C(C)C1C21[13CH2]O1
208600_S1,12.0,CCN1CC=CC=C(C)C12OC21[13CH2]O1
209100_S1,14.0,CC=CC=C(C=C[13CH2]O)C
209400_S1,16.0,CCN1CC=CC=C(C)C2=C1[13CH2]OO2
209900_S1,16.0,CCNO[13CH2]C#CC(=CC=CC=O)C
210100_S1,11.0,CCN1OC1[13CH2]OC1C=CC=C(C)C1
210400_S1,10.0,CCN1O[13CH2]CC12C=CC=C(C)C2
210500_S1,11.0,CCN(O)C([13CH2]O)=C1C=CC=C(C)C1
210600_S1,11.0,CCNC12C=CC=C(C)C1O[13CH2]CO2
211000_S1,10.0,CCNC12C=CC=C(C)C13O[13CH2]C2O3
211200_S1,12.0,CCNC1C(C)=CC=CC1(O)O[13CH2]C
211300_S1,8.0,CCNC1C(C)=CC=CC1C(O)[13CH2]O
211500_S1,11.0,CCN1C2C=CC=C(C)C21O[13CH2]CO
