rmat_tag,distance,largest_cleaned
1939,8.0,CCNCC=CC=C(CO)C
1940,9.0,CCN1CC=CC=C(C)CO1
1941,7.0,CCNCC=CC=C(C)COC=O
1955,9.0,CCN(C=O)CC=CC=C(CO)C
1957,8.0,CCN1CC=CC=C(C)COC1=O
1966,12.0,CCN(O)C1C=CC=C(C)CO1
1970,9.0,CCNC1C=CC=C(C)CO1
1975,10.0,CCN(C=O)C1C=CC=C(C)CO1
1980,12.0,CCNC1C=CC=C(C)COO1
1981,12.0,CCN1OCC(C)=CC=CC1O
1982,12.0,CCN1OC1C=CC=C(CO)C
2003,12.0,CCNC1(O)C=CC=C(C)CO1
2004,13.0,CCN1OC12C=CC=C(C)CO2
2011,12.0,CCNC(=O)C=CC=C(CO)C
2012,13.0,CCN1OCC(C)=CC=CC1=O
2013,11.0,CCNC(=O)C=CC=C(C)COC
2023,12.0,CCN=CC=CC=C(C)COO
2030,11.0,CCN=CC=CC=C(C)COOC
2035,9.0,CCN=CC=CC=C(CO)C
2037,8.0,CCN=CC=CC=C(C)COC=O
2050,10.0,CCN=C1C=CC=C(C)CO1
2054,12.0,CCN=C(O)C=CC=C(CO)C
2055,13.0,CCN=C1C=CC=C(C)COO1
2058,11.0,CCN=C(O)C=CC=C(C)COC
2060,11.0,CCN=C(C=CC=C(CO)C)OC
2113,7.0,CCNOCC(=CC=CCC=O)C
2125,8.0,CCNC(O)CC=CC=C(CO)C
2131,8.0,CCN1OC12CC=CC=C(C)CO2
2132,7.0,CCNC(=O)CC=CC=C(CO)C
2133,8.0,CCN1OCC(C)=CC=CCC1=O
2154,11.0,CCN(O)CC1C=CC=C(C)CO1
2157,10.0,CCN1OC1C1C=CC=C(C)CO1
2158,8.0,CCNC(=O)C1C=CC=C(C)CO1
2161,10.0,CCN=C(O)C1C=CC=C(C)CO1
2183,8.0,CCNC12OCC(C)=CC=CC1O2
2195,11.0,CCNOC1(C)C=CC=C(C)CO1
2197,11.0,CCNCC1(O)C=CC=C(C)CO1
2199,10.0,CCNC1OC12C=CC=C(C)CO2
2202,11.0,CCN=C1OC12C=CC=C(C)CO2
2207,11.0,CCNCC(=O)C=CC=C(CO)C
2209,10.0,CCNC1OCC(C)=CC=CC1=O
2219,10.0,CCNC(C)C=CC=C(C)COO
2220,10.0,CCN1OCC(C)=CC=CC1C
2221,10.0,CCN(O)C(C)C=CC=C(CO)C
2222,11.0,CCN1OOCC(C)=CC=CC1C
2225,8.0,CCNC1C=CC=C(C)COC1
2228,8.0,CCNC(C=CC=C(CO)C)CO
2234,8.0,CCN1OC2OCC(C)=CC=CC21
2235,7.0,CCNC(C=O)C=CC=C(CO)C
2236,8.0,CCN1OCC(C)=CC=CC1C=O
2237,6.0,CCNC1C=CC=C(C)COC1=O
2246,10.0,CCN1C2C=CC=C(C)COOC21
2251,8.0,CCN1C(=O)C1C=CC=C(CO)C
2258,10.0,CCNC1(C)C=CC=C(C)CO1
2262,10.0,CCN1OCC12C=CC=C(C)CO2
2263,8.0,CCNC1(C=O)C=CC=C(C)CO1
2266,10.0,CCN1C(O)C12C=CC=C(C)CO2
2268,9.0,CCN1C(=O)C12C=CC=C(C)CO2
2271,10.0,CCNC(C)(O)C=CC=C(CO)C
2272,11.0,CCNC1(C)C=CC=C(C)COO1
2274,11.0,CCN1OC1(C)C=CC=C(CO)C
2277,10.0,CCN1OC12C=CC=C(C)COC2
2279,10.0,CCN1OCC(C)=CC=CC12CO2
2285,10.0,CCN1C2OCC(C)=CC=CC21O
2287,10.0,CCN1C2OC21C=CC=C(CO)C
2318,10.0,CCN=C1C=CC=C(C)COOC1
2321,8.0,CCN=C1C=CC=C(C)COC1O
